model,n_seeds,test_auc,test_auc__std,test_ap,test_ap__std,test_category_mrr,test_category_mrr__std,test_link_mrr,test_link_mrr__std,test_link_hits1,test_link_hits1__std,test_link_hits3,test_link_hits3__std,test_link_hits10,test_link_hits10__std,test_category_accuracy,test_category_accuracy__std,test_f1_macro,test_f1_macro__std,test_link_acc,test_link_acc__std,test_link_precision,test_link_precision__std,test_link_recall,test_link_recall__std,test_link_f1,test_link_f1__std,tuned_link_threshold,tuned_link_threshold__std,nn_test_auc,nn_test_auc__std,nn_test_ap,nn_test_ap__std,nn_test_category_mrr,nn_test_category_mrr__std,nn_test_link_mrr,nn_test_link_mrr__std,nn_test_link_hits1,nn_test_link_hits1__std,nn_test_link_hits3,nn_test_link_hits3__std,nn_test_link_hits10,nn_test_link_hits10__std,test_auc_random_cc,test_auc_random_cc__std,test_ap_random_cc,test_ap_random_cc__std,test_link_acc_random_cc,test_link_acc_random_cc__std,test_link_f1_random_cc,test_link_f1_random_cc__std,test_auc_historical,test_auc_historical__std,test_ap_historical,test_ap_historical__std,test_link_acc_historical,test_link_acc_historical__std,test_link_f1_historical,test_link_f1_historical__std,test_auc_inductive,test_auc_inductive__std,test_ap_inductive,test_ap_inductive__std,test_link_acc_inductive,test_link_acc_inductive__std,test_link_f1_inductive,test_link_f1_inductive__std,test_c0_acc,test_c0_acc__std,test_c1_acc,test_c1_acc__std,test_c2_acc,test_c2_acc__std,test_c3_acc,test_c3_acc__std,test_c0_precision,test_c0_precision__std,test_c1_precision,test_c1_precision__std,test_c2_precision,test_c2_precision__std,test_c3_precision,test_c3_precision__std,test_c0_auc,test_c0_auc__std,test_c1_auc,test_c1_auc__std,test_c2_auc,test_c2_auc__std,test_c3_auc,test_c3_auc__std,test_c0_recall,test_c0_recall__std,test_c1_recall,test_c1_recall__std,test_c2_recall,test_c2_recall__std,test_c3_recall,test_c3_recall__std,nntest_c0_acc,nntest_c0_acc__std,nntest_c1_acc,nntest_c1_acc__std,nntest_c2_acc,nntest_c2_acc__std,nntest_c3_acc,nntest_c3_acc__std,nntest_c0_precision,nntest_c0_precision__std,nntest_c1_precision,nntest_c1_precision__std,nntest_c2_precision,nntest_c2_precision__std,nntest_c3_precision,nntest_c3_precision__std,nntest_c0_auc,nntest_c0_auc__std,nntest_c1_auc,nntest_c1_auc__std,nntest_c2_auc,nntest_c2_auc__std,nntest_c3_auc,nntest_c3_auc__std,nntest_c0_recall,nntest_c0_recall__std,nntest_c1_recall,nntest_c1_recall__std,nntest_c2_recall,nntest_c2_recall__std,nntest_c3_recall,nntest_c3_recall__std
BiTA,10,0.9325128306678006,0.029826085981868075,0.9329314152696846,0.024906962752407374,0.9113635624898425,0.04464596103202054,0.4573462039232254,0.10143763955040201,0.3466796684544125,0.13505427325988642,0.5008191126279863,0.0927866077236469,0.6604680643588494,0.09094139974327103,0.8392296440760605,0.07890860191673964,0.8281336836832536,0.09073582554595928,0.8577376889322282,0.03490495586911864,0.8667587398882872,0.0371242900802603,0.8478985860555828,0.07029722283948492,0.8552552838166336,0.04183318829777573,0.395,0.09360080721399315,0.9343881982698317,0.0293993721264505,0.9354242627021335,0.03502282900458336,0.8955212865133623,0.07029867821235548,0.5712014377117157,0.1533808991071962,0.45661901802361715,0.20833238922960481,0.6351149782473586,0.13352004973291742,0.7724673710379116,0.07871710497462742,0.932791442782427,0.02874127221935497,0.9325097410066728,0.024124116995754615,0.8581326182350072,0.03383690320367495,0.8555620256549273,0.04104041087052308,0.8532184635528779,0.03851082450595897,0.8174170664119857,0.06589118650419828,0.785207215992199,0.039660708941788816,0.7974293416274484,0.03884499517751782,0.875396472829251,0.032355360934848025,0.8713031042953283,0.03955578093949929,0.7814188200877621,0.03520130071867088,0.794642318740937,0.03306508488835579,0.9540785498489426,0.04069675673874135,0.996039603960396,0.010519721089445008,0.9988505747126437,0.0036348019082395122,0.8017295795985355,0.10292504920330027,0.6313072525055776,0.17026033970037285,0.6966119030311754,0.3061557397581689,0.8431309725853688,0.20285340028017884,0.9921202243960103,0.006322183395816149,0.9473502529333239,0.10095926118492109,0.9929033663366337,0.019826493762033354,0.9999909354914844,2.866449277904016e-05,0.9655291375079553,0.026358663961978494,0.9540785498489426,0.04069675673874135,0.996039603960396,0.010519721089445008,0.9988505747126437,0.0036348019082395122,0.8017295795985355,0.10292504920330027,0.9079012345679013,0.0883312028416416,0.9940298507462686,0.018879269612945532,0.95,0.15811388300841897,0.8025,0.13186770129210976,0.40963767298976056,0.19591619175432246,0.49957223990372296,0.42580895938443775,0.4993164114369586,0.4451300011732344,0.9961029998065462,0.004632499806586555,0.9192687575100662,0.16884319089296732,0.983856037757515,0.044203466790650583,0.999863961442786,0.0004301916903991663,0.9484470348542102,0.05487385197464718,0.9079012345679013,0.0883312028416416,0.9940298507462686,0.018879269612945532,0.95,0.15811388300841897,0.8025,0.13186770129210976
TGN-Last,10,0.9337640213559595,0.015896920191268014,0.927421193026426,0.01753867545473721,0.8901820250284412,0.09110421461358055,0.40587562322616577,0.08994298105518898,0.2520234032179424,0.12782935637554854,0.4855485129205266,0.08176209721126632,0.691389566065334,0.09988770778357861,0.8023110677718186,0.16077818559671136,0.7999879870432707,0.11144097124500432,0.8557727937591417,0.02465327883738032,0.8679251532566269,0.04119798933108375,0.8424085811799122,0.03638196811183807,0.8539066022512962,0.023370669129734734,0.425,0.08436033823229178,0.9158815925200887,0.03304075195603814,0.9188199179466032,0.03360663154329298,0.8649186865547959,0.13415282133632475,0.46915138363838194,0.12303011209389997,0.29610006215040396,0.17764278205688713,0.5763983840894966,0.10687631077443359,0.7899005593536359,0.09179547224264255,0.934170516766387,0.014981819711724086,0.9269425267181621,0.016646616012043074,0.8567430521696734,0.023263980316300968,0.8546905593077581,0.022442789047492147,0.8440140127385506,0.02597517069388543,0.7894606494571645,0.055007276851723665,0.7786299366162847,0.030377344393878455,0.7922623349056591,0.023223739073567933,0.8683865562719164,0.02603455445272407,0.8528854025634717,0.03888968893068486,0.7746318868844467,0.031151222972784588,0.7892798141153442,0.02373000507232641,0.9693655589123867,0.02196392860909449,0.9453465346534653,0.14133799675282271,0.9988505747126437,0.0036348019082395122,0.7539704582754703,0.211414439218538,0.5601649868003282,0.14651532122941444,0.7203780818117987,0.21952466984071817,0.8131610083672139,0.28412892276339285,0.9941046275186267,0.0038558757290514498,0.9643745485842761,0.04614389854349097,0.9957805331302362,0.0069224317629764075,0.9999949261556109,1.6044904763006527e-05,0.9611779378344874,0.03817696492898999,0.9693655589123867,0.02196392860909449,0.9453465346534653,0.14133799675282271,0.9988505747126437,0.0036348019082395122,0.7539704582754703,0.211414439218538,0.9422222222222223,0.0620097838847302,0.9477611940298507,0.12571421660192317,0.95,0.15811388300841897,0.7481040268456376,0.2530234850892827,0.3221312117997324,0.109953851203406,0.43366358858805026,0.36167060745278135,0.612637607507221,0.44180812037221495,0.9977041184902389,0.002622041792451708,0.9478163030105771,0.0511558942772693,0.9899867126918398,0.018257902900038953,0.999910603233831,0.00028269739654802656,0.9346874471265016,0.06014493195020743,0.9422222222222223,0.0620097838847302,0.9477611940298507,0.12571421660192317,0.95,0.15811388300841897,0.7481040268456376,0.2530234850892827
TGN-Mean,10,0.9350576453531012,0.013291521294137694,0.9289171506391156,0.018033992112622185,0.8869372663741263,0.09128222625703095,0.42533358335495,0.09461413875447597,0.28259385665529,0.12628400909260704,0.4963042418332521,0.0914770388686015,0.6863383715260849,0.09670912916309307,0.7972208678693321,0.16068790314788542,0.7985267540223745,0.11730209070466396,0.8573183812774255,0.02270412405264146,0.8684235775418033,0.04043879775996556,0.8454900048756704,0.03503955413899966,0.8557082933872941,0.02120249832749032,0.41899999999999993,0.09290975310602341,0.9188129338022876,0.02899282962648866,0.9221180600457535,0.03213313900920135,0.8637391236793037,0.13460866804570934,0.5074865102767945,0.1260526808526037,0.345758234928527,0.17124222212177073,0.6139993784959602,0.12450338806904657,0.7899005593536359,0.09180371236718209,0.935423024432315,0.012448488201354503,0.928640152555426,0.01673498455924844,0.858000975134081,0.021267378966057383,0.8562463597596854,0.020209482234525823,0.8471799531260512,0.02262172020467385,0.7963795121455883,0.04507675040504528,0.7769819600195027,0.03196721979934852,0.7917489365790552,0.023694360309017126,0.8730067748284185,0.024196133047668503,0.8613767111245929,0.03492161063805985,0.7750316918576304,0.031000825177418086,0.7902522789173669,0.022691328568078845,0.9731117824773415,0.019753061770297786,0.9611881188118812,0.08038834388481735,0.9988505747126437,0.0036348019082395122,0.745587678323444,0.20991823594067863,0.5591677035205829,0.15207698012739782,0.7322751761680728,0.26844153229026174,0.8023243600087954,0.2830640403872032,0.9950949488332517,0.0027150859091161473,0.9658140237476287,0.046597444119403114,0.993686884996192,0.01654208089749969,0.9999919046527724,1.7738818579853354e-05,0.9592264475015544,0.0418825705168666,0.9731117824773415,0.019753061770297786,0.9611881188118812,0.08038834388481735,0.9988505747126437,0.0036348019082395122,0.745587678323444,0.20991823594067863,0.9434567901234567,0.067262993678166,0.9701492537313433,0.05801942183925671,0.95,0.15811388300841897,0.7443120805369128,0.25220374400116713,0.34380476396710186,0.1471873444446817,0.5344879206051669,0.43755500121234303,0.5924082023868708,0.42693853513102514,0.9977025550505992,0.003006445571690288,0.9520180712409753,0.052030645607033084,0.9910930509956106,0.021182442401481826,0.999910603233831,0.00028269739654802656,0.9383164725621793,0.06434057784118953,0.9434567901234567,0.067262993678166,0.9701492537313433,0.05801942183925671,0.95,0.15811388300841897,0.7443120805369128,0.25220374400116713
TGN-Attention,10,0.9360056292479368,0.01358190784837149,0.9318100208604184,0.015053247364875106,0.9090102389078497,0.09997789706263475,0.40325734615325926,0.10474448007108188,0.27412969283276445,0.136590222222127,0.4633349585568016,0.09974312221853093,0.6318381277425646,0.08880638926666515,0.8368113115553388,0.17702856274886228,0.8140517084599745,0.10459196284794947,0.8531643100926377,0.023210253293013256,0.8592785330217009,0.04127931825891171,0.8483764017552413,0.04436059767002863,0.8523702109672151,0.022897036046544268,0.404,0.08682037651253179,0.9225607535649573,0.032808913006900794,0.9208399506283076,0.03919886026655014,0.8921561010979904,0.14509573802637046,0.47742568552494047,0.15858963500912632,0.32925730267246733,0.20032652053496575,0.5632846488502175,0.1647451449991408,0.7433343691733997,0.09501695630328279,0.9365079321761204,0.012720516091308538,0.931735453922348,0.014947600819998668,0.8543832276938079,0.022244687181984513,0.853365685184771,0.022407256136155313,0.8532310799146389,0.02514534916880088,0.8054530173051597,0.049924027928645746,0.7802194051682106,0.02876330622999615,0.7945522467983909,0.021075448043060826,0.8783993704180644,0.027203034401581144,0.8688046419264644,0.039570302035582705,0.7809946367625549,0.0314347780633592,0.7952980750625602,0.021452767682030756,0.950332326283988,0.03691772027081974,0.9156435643564358,0.24820623459316013,0.9988505747126437,0.0036348019082395122,0.8045070066910742,0.2365401627061801,0.660372985673408,0.2038411240503804,0.7093736624197373,0.23448401811549208,0.7978510184599509,0.23720887509610072,0.9877505872054968,0.017590078620618097,0.967246153305698,0.047600666412818834,0.9945805534399594,0.013920286506829053,0.9999949261556109,1.6044904763006527e-05,0.9689240266483278,0.039335778972570526,0.950332326283988,0.03691772027081974,0.9156435643564358,0.24820623459316013,0.9988505747126437,0.0036348019082395122,0.8045070066910742,0.2365401627061801,0.8879012345679012,0.08129587706499491,0.908955223880597,0.262359399759589,0.95,0.15811388300841897,0.8036577181208052,0.27597236231414,0.45619179509579205,0.22552398843142474,0.48756613359850415,0.4120236880675157,0.5094018067269606,0.44563121330305894,0.9945120242048964,0.007008840322862771,0.955376357953045,0.05334509942849235,0.9935241362663836,0.014003566094942698,0.999910603233831,0.00028269739654802656,0.9557646212847555,0.05910473501561945,0.8879012345679012,0.08129587706499491,0.908955223880597,0.262359399759589,0.95,0.15811388300841897,0.8036577181208052,0.27597236231414
DyRep,10,0.9216047288535328,0.057824940167654416,0.9174077912230223,0.06592526708293145,0.9013464976434259,0.09602029674864569,0.42051063030958175,0.24783047055695573,0.3389078498293515,0.2623371677233584,0.4411799122379326,0.259220765148377,0.5716626036079961,0.263174532140723,0.8266601657727938,0.17127113041297679,0.800824360720463,0.09288936496330671,0.8357240370550951,0.08543208819294353,0.8616168479144681,0.07212115084830781,0.7928425158459288,0.15369726017083435,0.820858717409919,0.12197335385662894,0.4760000000000001,0.09406853293683756,0.8733936484044651,0.1754911065967979,0.8800928517270187,0.16090161372932432,0.8767920033146881,0.13797545931943006,0.4999370561912656,0.301692312251564,0.4146053449347421,0.3233375654609154,0.5295369794903666,0.3186829971270466,0.660130515848353,0.3046775535267685,0.9222924465619631,0.05670429278984412,0.9173309318000744,0.0659458697708818,0.83603120429059,0.08518869843537927,0.8210809199014536,0.12189302200820779,0.8527784660346918,0.0648616470486374,0.8182071560312713,0.0741896926074924,0.7805021940516821,0.07842868239202277,0.7760573249220104,0.11210812366590947,0.8594992955119822,0.08268613714073729,0.8519105748844323,0.08948982218694637,0.7671038517796198,0.08601891307265407,0.7664217051071158,0.11605522634665047,0.9620543806646527,0.024467444650631262,0.9924752475247525,0.014425123041212096,0.9988505747126437,0.0036348019082395122,0.7840171695492992,0.22491336612593596,0.6519733013926752,0.1997913640863954,0.6616536411586396,0.19178153890505426,0.7316275323121335,0.28470803598366323,0.9927131508135508,0.004954038113110925,0.9666489215204104,0.0468355890477421,0.998300787001777,0.0023088457212096986,0.9999331848806279,0.00019111283168509258,0.9704660969230534,0.03848840196767039,0.9620543806646527,0.024467444650631262,0.9924752475247525,0.014425123041212096,0.9988505747126437,0.0036348019082395122,0.7840171695492992,0.22491336612593596,0.8901234567901234,0.08713597000109449,0.9925373134328357,0.018944709218566926,0.95,0.15811388300841897,0.7744463087248323,0.26210774838419737,0.43628100336577874,0.23017704987814727,0.34665858227371493,0.3488382357358526,0.4690266986166913,0.47866101954240015,0.993693411007649,0.00642063136270472,0.9491323225065557,0.052301477691003934,0.9972150551997432,0.0040833635046399796,0.9972986629353235,0.008233064577981404,0.9440728808301845,0.05660802785749637,0.8901234567901234,0.08713597000109449,0.9925373134328357,0.018944709218566926,0.95,0.15811388300841897,0.7744463087248323,0.26210774838419737
