model,n_seeds,test_auc,test_auc__std,test_ap,test_ap__std,test_category_mrr,test_category_mrr__std,test_link_mrr,test_link_mrr__std,test_link_hits1,test_link_hits1__std,test_link_hits3,test_link_hits3__std,test_link_hits10,test_link_hits10__std,test_category_accuracy,test_category_accuracy__std,test_f1_macro,test_f1_macro__std,test_link_acc,test_link_acc__std,test_link_precision,test_link_precision__std,test_link_recall,test_link_recall__std,test_link_f1,test_link_f1__std,tuned_link_threshold,tuned_link_threshold__std,nn_test_auc,nn_test_auc__std,nn_test_ap,nn_test_ap__std,nn_test_category_mrr,nn_test_category_mrr__std,nn_test_link_mrr,nn_test_link_mrr__std,nn_test_link_hits1,nn_test_link_hits1__std,nn_test_link_hits3,nn_test_link_hits3__std,nn_test_link_hits10,nn_test_link_hits10__std,test_auc_random_cc,test_auc_random_cc__std,test_ap_random_cc,test_ap_random_cc__std,test_link_acc_random_cc,test_link_acc_random_cc__std,test_link_f1_random_cc,test_link_f1_random_cc__std,test_auc_historical,test_auc_historical__std,test_ap_historical,test_ap_historical__std,test_link_acc_historical,test_link_acc_historical__std,test_link_f1_historical,test_link_f1_historical__std,test_auc_inductive,test_auc_inductive__std,test_ap_inductive,test_ap_inductive__std,test_link_acc_inductive,test_link_acc_inductive__std,test_link_f1_inductive,test_link_f1_inductive__std,test_c0_acc,test_c0_acc__std,test_c1_acc,test_c1_acc__std,test_c2_acc,test_c2_acc__std,test_c3_acc,test_c3_acc__std,test_c4_acc,test_c4_acc__std,test_c5_acc,test_c5_acc__std,test_c6_acc,test_c6_acc__std,test_c7_acc,test_c7_acc__std,test_c8_acc,test_c8_acc__std,test_c9_acc,test_c9_acc__std,test_c0_precision,test_c0_precision__std,test_c1_precision,test_c1_precision__std,test_c2_precision,test_c2_precision__std,test_c3_precision,test_c3_precision__std,test_c4_precision,test_c4_precision__std,test_c5_precision,test_c5_precision__std,test_c6_precision,test_c6_precision__std,test_c7_precision,test_c7_precision__std,test_c8_precision,test_c8_precision__std,test_c9_precision,test_c9_precision__std,test_c0_auc,test_c0_auc__std,test_c1_auc,test_c1_auc__std,test_c2_auc,test_c2_auc__std,test_c3_auc,test_c3_auc__std,test_c4_auc,test_c4_auc__std,test_c5_auc,test_c5_auc__std,test_c6_auc,test_c6_auc__std,test_c7_auc,test_c7_auc__std,test_c8_auc,test_c8_auc__std,test_c9_auc,test_c9_auc__std,test_c0_recall,test_c0_recall__std,test_c1_recall,test_c1_recall__std,test_c2_recall,test_c2_recall__std,test_c3_recall,test_c3_recall__std,test_c4_recall,test_c4_recall__std,test_c5_recall,test_c5_recall__std,test_c6_recall,test_c6_recall__std,test_c7_recall,test_c7_recall__std,test_c8_recall,test_c8_recall__std,test_c9_recall,test_c9_recall__std,nntest_c0_acc,nntest_c0_acc__std,nntest_c1_acc,nntest_c1_acc__std,nntest_c2_acc,nntest_c2_acc__std,nntest_c3_acc,nntest_c3_acc__std,nntest_c4_acc,nntest_c4_acc__std,nntest_c5_acc,nntest_c5_acc__std,nntest_c6_acc,nntest_c6_acc__std,nntest_c7_acc,nntest_c7_acc__std,nntest_c8_acc,nntest_c8_acc__std,nntest_c9_acc,nntest_c9_acc__std,nntest_c0_precision,nntest_c0_precision__std,nntest_c1_precision,nntest_c1_precision__std,nntest_c2_precision,nntest_c2_precision__std,nntest_c3_precision,nntest_c3_precision__std,nntest_c4_precision,nntest_c4_precision__std,nntest_c5_precision,nntest_c5_precision__std,nntest_c6_precision,nntest_c6_precision__std,nntest_c7_precision,nntest_c7_precision__std,nntest_c8_precision,nntest_c8_precision__std,nntest_c9_precision,nntest_c9_precision__std,nntest_c0_auc,nntest_c0_auc__std,nntest_c1_auc,nntest_c1_auc__std,nntest_c2_auc,nntest_c2_auc__std,nntest_c3_auc,nntest_c3_auc__std,nntest_c4_auc,nntest_c4_auc__std,nntest_c5_auc,nntest_c5_auc__std,nntest_c6_auc,nntest_c6_auc__std,nntest_c7_auc,nntest_c7_auc__std,nntest_c8_auc,nntest_c8_auc__std,nntest_c9_auc,nntest_c9_auc__std,nntest_c0_recall,nntest_c0_recall__std,nntest_c1_recall,nntest_c1_recall__std,nntest_c2_recall,nntest_c2_recall__std,nntest_c3_recall,nntest_c3_recall__std,nntest_c4_recall,nntest_c4_recall__std,nntest_c5_recall,nntest_c5_recall__std,nntest_c6_recall,nntest_c6_recall__std,nntest_c7_recall,nntest_c7_recall__std,nntest_c8_recall,nntest_c8_recall__std,nntest_c9_recall,nntest_c9_recall__std
BiTA,10,0.9181243970370371,0.00559474302371664,0.8865545215172105,0.009508670400994552,0.7015866895943563,0.0348326875487479,0.5223789304494858,0.01920061453591985,0.3811288888888889,0.0226985512853282,0.5509111111111111,0.022275435054308384,0.94176,0.004805492970405278,0.563288888888889,0.050807290232217084,0.34914573221822376,0.037081096952056185,0.8760622222222221,0.001690181441709296,0.8085324152470227,0.004543517068007874,0.9855911111111112,0.0064292473004606,0.8882974818533269,0.001293293296418027,0.45099999999999996,0.08924996109554087,0.7949453728111722,0.013050701309336447,0.7269867076571865,0.015572778668953966,0.6041219533651123,0.05686411253132099,0.4970346450805664,0.0569372441825258,0.3413231728437825,0.07148000947110052,0.5348458607551091,0.06090790490837933,0.946241773467267,0.010144469952569134,0.9821205738271604,0.001516050075049732,0.9759721991637258,0.00265886324154914,0.9586644444444443,0.002376345478386431,0.9597404038332034,0.002456975119857009,0.7867307657283951,0.01979236352432755,0.7792275485185783,0.023856192815397442,0.63508,0.014369061414230446,0.7298799620398287,0.006553231803671227,0.9821109202962962,0.0015132860610984446,0.9759599277477864,0.0026606276211068366,0.9586444444444444,0.002377604701212209,0.9597217031551158,0.0024583702138468474,0.9839168490153172,0.003507335658033188,0.28861512319456245,0.17317899653770183,0.6326558265582657,0.07886614094203531,0.7984779706275033,0.036872784688161075,0.3360526315789473,0.34185337105359653,0.12339181286549702,0.11186962991387489,0.11654766904661903,0.06470574568756832,0.341044776119403,0.14518926876413168,0.14838709677419354,0.07480656830505844,0.27011494252873564,0.3549571154501118,1.0,0.0,0.6067673709438532,0.05795047934952047,0.77555528367417,0.08784362106773573,0.7868216868483711,0.0728372783589048,0.20381177494492492,0.16181643392227982,0.13818616319981825,0.10486629197922781,0.19333109152811637,0.030084050663782266,0.030279546505034567,0.0031265757786724533,0.0033047773932238602,0.0007584540513114058,0.1433060928629868,0.1015915182476218,0.9942267609204295,0.0009464049935192103,0.844612609369419,0.008697732156623813,0.8942333136403035,0.013717586815310509,0.9414158446043226,0.02309927263102047,0.9097655729513656,0.013828326302388066,0.7310872402747891,0.04116043413107042,0.7266343855487819,0.019920974301056816,0.7907433080190984,0.012657109040704767,0.771527509586685,0.031225044895312623,0.9397026889453433,0.0192521603377971,0.9839168490153172,0.003507335658033188,0.28861512319456245,0.17317899653770183,0.6326558265582657,0.07886614094203531,0.7984779706275033,0.036872784688161075,0.3360526315789473,0.34185337105359653,0.12339181286549702,0.11186962991387489,0.11654766904661903,0.06470574568756832,0.341044776119403,0.14518926876413168,0.14838709677419354,0.07480656830505844,0.27011494252873564,0.3549571154501118,0.08181818181818182,0.01916531915253565,0.2864818024263431,0.19132547066940678,0.02248062015503872,0.02175765833077091,0.8626116071428571,0.0404718476858807,0.09166666666666665,0.12076147288491197,0.039999999999999966,0.017873541798374165,0.12967289719626166,0.09470385770188738,0.3821428571428571,0.158650773799597,0.1714285714285714,0.14754222271266348,0.15625,0.28771295119259166,1.0,0.0,0.6222188113263025,0.12507150372676562,0.08353173048066882,0.12825774116252903,0.8128451760371591,0.07243550722414675,0.10414918414918414,0.1601246021488103,0.12608203520210062,0.1009552450908793,0.20272275704137382,0.032918993580185504,0.03437433491570399,0.007979879510910077,0.0034136862307813697,0.003094239810948456,0.2836206896551724,0.36957672334836283,0.6107599555767096,0.07312145421368342,0.7726899637078587,0.017348980771576362,0.5948060891219904,0.062326197062910677,0.9410700271758626,0.019607328947146445,0.8000985507246376,0.05037282958936518,0.5998798180447891,0.05244261584366112,0.6363302079334734,0.04078539582752622,0.66971791895847,0.030565967267983246,0.6602232142857142,0.09608487724668369,0.8763795937536691,0.06614293773638683,0.08181818181818182,0.01916531915253565,0.2864818024263431,0.19132547066940678,0.02248062015503872,0.02175765833077091,0.8626116071428571,0.0404718476858807,0.09166666666666665,0.12076147288491197,0.039999999999999966,0.017873541798374165,0.12967289719626166,0.09470385770188738,0.3821428571428571,0.158650773799597,0.1714285714285714,0.14754222271266348,0.15625,0.28771295119259166
TGN-Last,10,0.9193195356049383,0.003534582170559176,0.8876451264033693,0.006300243111433813,0.6946682627865961,0.03317737578833897,0.5271550416946411,0.013722941879902617,0.38558222222222216,0.018943406582482614,0.5577066666666667,0.012500441912627483,0.9426933333333333,0.002611041238886559,0.5607377777777778,0.047580038465270834,0.3429775165268968,0.0307088989209229,0.8764755555555557,0.002324089862717495,0.8086186190529965,0.003571454088592742,0.9864533333333332,0.004005307863782277,0.8887163533840481,0.001927387987091028,0.426,0.052746774519606625,0.8015744947460451,0.008230033272564321,0.7349332149298784,0.00786415054088057,0.6063595015422172,0.06349363435019648,0.4981228232383728,0.04275600192443418,0.34184274333217873,0.047979600570020375,0.5401801177693106,0.0518620923460621,0.9417041912019396,0.014518666771041324,0.9827018286419753,0.0011724777334919548,0.9767545479736037,0.0018138057704455168,0.9595755555555556,0.0019811027675471467,0.9606307640392171,0.001987108562177804,0.7942474331851852,0.013019100299420822,0.7834400531400896,0.01896728676632541,0.6379844444444445,0.006592476486701265,0.7315543353505338,0.0029513715930721126,0.9826984558024691,0.0011734727512059512,0.9767509485031111,0.0018143089439119572,0.9595577777777777,0.0019795788719543374,0.9606141130433216,0.001986115047836531,0.9855397520058352,0.002700634885827601,0.30385726423109605,0.1815482883253406,0.6197493224932249,0.04604561485741869,0.8010947930574099,0.031973284300623135,0.3555263157894737,0.28396526671283606,0.08284600389863542,0.10181337120624247,0.06745065098698019,0.030702633983969482,0.3958955223880597,0.13824949976417608,0.21290322580645155,0.13618185117408657,0.289367816091954,0.31933219635470433,1.0,0.0,0.5694129086330834,0.05910148076652519,0.7585645910536999,0.05766556967461023,0.8157147990496133,0.055993828921536565,0.18242962545455424,0.09010502411152924,0.0978175574283995,0.05240687885570852,0.20951481303209976,0.024547488427851302,0.03242057641345912,0.0029768465332225247,0.0040250951218840205,0.0009856781548565584,0.1158413389471876,0.06676611372491874,0.9935627411383013,0.0031836195758492484,0.8259345960583161,0.029419361538817062,0.8934816114166615,0.010358833025107057,0.9460066061600306,0.009403569921588197,0.899017940420672,0.0113034198710163,0.7160185303193616,0.03732762612848325,0.749855327412563,0.022659255907887928,0.7986621996396213,0.010110263429172215,0.7809879992362236,0.03156218677763265,0.9312625893513158,0.014372436991569267,0.9855397520058352,0.002700634885827601,0.30385726423109605,0.1815482883253406,0.6197493224932249,0.04604561485741869,0.8010947930574099,0.031973284300623135,0.3555263157894737,0.28396526671283606,0.08284600389863542,0.10181337120624247,0.06745065098698019,0.030702633983969482,0.3958955223880597,0.13824949976417608,0.21290322580645155,0.13618185117408657,0.289367816091954,0.31933219635470433,0.07272727272727272,0.031782086308186415,0.3651646447140381,0.2239111025725547,0.03720930232558135,0.018917834850359822,0.8585937499999998,0.04034374805144103,0.20833333333333331,0.12576923802968634,0.02740740740740738,0.026604866660841414,0.05443925233644854,0.04153434896331992,0.37321428571428567,0.16114360646566744,0.1714285714285714,0.21081851067789195,0.0,0.0,0.9,0.31622776601683794,0.5660190819856245,0.08801924498478461,0.07374871761496424,0.03461774262961283,0.8284292223878389,0.05151990329901261,0.16061421862737651,0.08524476238217434,0.057212225075307335,0.04287395574702494,0.17496338602407369,0.045361301976085594,0.03497059487041942,0.005355262695559839,0.0033632913791278203,0.0032228523674047538,0.0,0.0,0.5658638743455497,0.04751997863370527,0.7350983708038774,0.08160443879492509,0.5995848581434697,0.050015198896321014,0.9446188932786826,0.009123918400917924,0.769991304347826,0.061103493519996034,0.5950711940137812,0.04046847223544799,0.6529036953704302,0.05285902904180611,0.6761353888075895,0.027598558028260493,0.6461954365079364,0.07064487869144022,0.8021537806739463,0.07719757901287887,0.07272727272727272,0.031782086308186415,0.3651646447140381,0.2239111025725547,0.03720930232558135,0.018917834850359822,0.8585937499999998,0.04034374805144103,0.20833333333333331,0.12576923802968634,0.02740740740740738,0.026604866660841414,0.05443925233644854,0.04153434896331992,0.37321428571428567,0.16114360646566744,0.1714285714285714,0.21081851067789195,0.0,0.0
TGN-Mean,10,0.9205982899753085,0.00350401620471192,0.8888184508776646,0.007605167227008879,0.6970417795414461,0.027630521258889495,0.5298811018466949,0.012761490723574595,0.3898133333333333,0.018839037193004223,0.5589822222222223,0.008885590746151506,0.9431911111111113,0.0015743903821625086,0.5655022222222222,0.04262988023223312,0.34556828622902824,0.024523216063766916,0.8774111111111111,0.0021314613700502355,0.8098328950027265,0.004338550988082233,0.9865422222222222,0.005781985172734649,0.8894741539505067,0.0017353346662586132,0.418,0.0644291169511977,0.8018662544816779,0.008062347484211342,0.7329579048513465,0.008886857389747127,0.5957225328648951,0.05754039570404934,0.49931944012641905,0.04334278629531441,0.34232767578801526,0.052846950618901836,0.5419812954624177,0.05037291783699768,0.9446137859369588,0.008001727062674591,0.9833739146666666,0.0011313448833187565,0.9774477266423375,0.002053703630243948,0.9601333333333331,0.002245678672992161,0.961152886136819,0.0023020441965355886,0.7996531066666667,0.012074706355109072,0.7848270565742694,0.019582946229248895,0.64236,0.012048843440674587,0.7339975872453732,0.00571204587479225,0.9833746729876542,0.0011310572955368706,0.9774488729810964,0.002055127175051693,0.9601244444444443,0.002238684701040393,0.9611445684216612,0.0022954557662035018,0.9849380014587892,0.0033702450918009982,0.3012404418011895,0.17274721393293446,0.6464092140921409,0.04631358876818908,0.8143658210947929,0.017483949852273514,0.3876315789473684,0.3027575379874937,0.06764132553606232,0.08331949443486238,0.06887862242755141,0.028850974065339086,0.3776119402985075,0.13708476525684077,0.23225806451612901,0.13063520471817153,0.29454022988505746,0.3283003184185283,1.0,0.0,0.5902779190614058,0.052951560228910004,0.7390360476576621,0.08426087741229688,0.8078629718926648,0.04922111203649332,0.21941229770238832,0.14214128129774117,0.11010883494835466,0.0340658585810509,0.20872745826263644,0.022797856592520382,0.03197466065348136,0.0027646072371105396,0.00433295357637162,0.001401277228202258,0.16987766524308504,0.19563945057074655,0.9933065174939827,0.003330157782940779,0.8393959814081257,0.018375171578189627,0.901467174921519,0.010264667563153303,0.9475405693328242,0.005955891231667807,0.8982133518130769,0.01294389940158119,0.7200237387576544,0.0368492166557327,0.7556083449631767,0.02111158393446154,0.7979211842684741,0.011190072420656446,0.8005511536324599,0.021214194241405995,0.9288795243832579,0.02972448149050447,0.9849380014587892,0.0033702450918009982,0.3012404418011895,0.17274721393293446,0.6464092140921409,0.04631358876818908,0.8143658210947929,0.017483949852273514,0.3876315789473684,0.3027575379874937,0.06764132553606232,0.08331949443486238,0.06887862242755141,0.028850974065339086,0.3776119402985075,0.13708476525684077,0.23225806451612901,0.13063520471817153,0.29454022988505746,0.3283003184185283,0.07727272727272727,0.030679479895934225,0.32114384748700175,0.2176783022456566,0.03100775193798445,0.030354884042560027,0.8727678571428571,0.03306201360936588,0.10833333333333331,0.08827915878928166,0.02740740740740738,0.017822303637154143,0.06588785046728969,0.03449373342222159,0.3803571428571429,0.16794788158742946,0.1714285714285714,0.1312766547818116,0.04583333333333332,0.09662515072736713,0.9,0.31622776601683794,0.5868054389095491,0.09490338223488275,0.07029814585321467,0.03590209632763538,0.8206542819099504,0.05877751073948442,0.12140756302521005,0.09973122014498108,0.11451607895367702,0.09115236278391947,0.20771682801530708,0.06380900829508154,0.03169674319726509,0.006046581763581492,0.00312245231140247,0.0023062844346321064,0.11970588235294119,0.2533969521890516,0.56950658416627,0.06529470174334236,0.7558773717649341,0.05400305658018914,0.6165851560787223,0.02724283544829773,0.9475196139323385,0.0038038494874537633,0.765776811594203,0.05102271572213761,0.599353466838932,0.05053868463977395,0.6679229076480447,0.034589397243619556,0.675113538880759,0.03575890324564318,0.6406200396825397,0.040870236301803566,0.8013091464130563,0.16502946007091437,0.07727272727272727,0.030679479895934225,0.32114384748700175,0.2176783022456566,0.03100775193798445,0.030354884042560027,0.8727678571428571,0.03306201360936588,0.10833333333333331,0.08827915878928166,0.02740740740740738,0.017822303637154143,0.06588785046728969,0.03449373342222159,0.3803571428571429,0.16794788158742946,0.1714285714285714,0.1312766547818116,0.04583333333333332,0.09662515072736713
