model,n_seeds,test_auc,test_auc__std,test_ap,test_ap__std,test_category_mrr,test_category_mrr__std,test_link_mrr,test_link_mrr__std,test_link_hits1,test_link_hits1__std,test_link_hits3,test_link_hits3__std,test_link_hits10,test_link_hits10__std,test_category_accuracy,test_category_accuracy__std,test_f1_macro,test_f1_macro__std,test_link_acc,test_link_acc__std,test_link_precision,test_link_precision__std,test_link_recall,test_link_recall__std,test_link_f1,test_link_f1__std,tuned_link_threshold,tuned_link_threshold__std,nn_test_auc,nn_test_auc__std,nn_test_ap,nn_test_ap__std,nn_test_category_mrr,nn_test_category_mrr__std,nn_test_link_mrr,nn_test_link_mrr__std,nn_test_link_hits1,nn_test_link_hits1__std,nn_test_link_hits3,nn_test_link_hits3__std,nn_test_link_hits10,nn_test_link_hits10__std,test_auc_random_cc,test_auc_random_cc__std,test_ap_random_cc,test_ap_random_cc__std,test_link_acc_random_cc,test_link_acc_random_cc__std,test_link_f1_random_cc,test_link_f1_random_cc__std,test_auc_historical,test_auc_historical__std,test_ap_historical,test_ap_historical__std,test_link_acc_historical,test_link_acc_historical__std,test_link_f1_historical,test_link_f1_historical__std,test_auc_inductive,test_auc_inductive__std,test_ap_inductive,test_ap_inductive__std,test_link_acc_inductive,test_link_acc_inductive__std,test_link_f1_inductive,test_link_f1_inductive__std,test_c0_acc,test_c0_acc__std,test_c1_acc,test_c1_acc__std,test_c2_acc,test_c2_acc__std,test_c3_acc,test_c3_acc__std,test_c0_precision,test_c0_precision__std,test_c1_precision,test_c1_precision__std,test_c2_precision,test_c2_precision__std,test_c3_precision,test_c3_precision__std,test_c0_auc,test_c0_auc__std,test_c1_auc,test_c1_auc__std,test_c2_auc,test_c2_auc__std,test_c3_auc,test_c3_auc__std,test_c0_recall,test_c0_recall__std,test_c1_recall,test_c1_recall__std,test_c2_recall,test_c2_recall__std,test_c3_recall,test_c3_recall__std,nntest_c0_acc,nntest_c0_acc__std,nntest_c1_acc,nntest_c1_acc__std,nntest_c2_acc,nntest_c2_acc__std,nntest_c3_acc,nntest_c3_acc__std,nntest_c0_precision,nntest_c0_precision__std,nntest_c1_precision,nntest_c1_precision__std,nntest_c2_precision,nntest_c2_precision__std,nntest_c3_precision,nntest_c3_precision__std,nntest_c0_auc,nntest_c0_auc__std,nntest_c1_auc,nntest_c1_auc__std,nntest_c2_auc,nntest_c2_auc__std,nntest_c3_auc,nntest_c3_auc__std,nntest_c0_recall,nntest_c0_recall__std,nntest_c1_recall,nntest_c1_recall__std,nntest_c2_recall,nntest_c2_recall__std,nntest_c3_recall,nntest_c3_recall__std
default,3,0.9463689932402272,0.0067337993869276145,0.9470353066497122,0.004079168312657485,0.9714041930765482,0.012267764962177926,0.5173823436101278,0.09458702079505299,0.4139769218267511,0.1409530032462399,0.5731838127742565,0.05017195146897447,0.698488542174549,0.034196910891730936,0.9450024378352023,0.02621515177635273,0.9290705315907474,0.024831812909439376,0.8683406468389402,0.013659391723466708,0.8855190540277019,0.005563067970751666,0.8462213554363726,0.035498764796230896,0.8651104223007534,0.01706901332306106,0.39666666666666667,0.06110100926607786,0.9563457347337838,0.006247255955855913,0.9603521760214564,0.005452047475102893,0.9716740901871418,0.01466601217204022,0.6701603730519613,0.1204073354199743,0.5767039569090532,0.18901160057074606,0.7403666873834679,0.052322972279530575,0.8144810441267868,0.022433950008983683,0.9472088573807372,0.006532685617170271,0.9461011186841987,0.0066717255104105175,0.8682431334308468,0.013848735065930165,0.8650274718229681,0.01717524940711405,0.8639231325560311,0.020653329375452566,0.8242668101721037,0.05701974072545256,0.792556476515521,0.0029340572979416044,0.802938833114172,0.008906546014544672,0.9021542507438508,0.007493193449414555,0.9045997896244748,0.01675034864502658,0.8062408581179913,0.010045655999525295,0.8137049947340049,0.004804931432452275,0.970392749244713,0.01804614443875302,0.9643564356435643,0.04866616129680995,1.0,0.0,0.9372553970458276,0.0398829646126759,0.7885658102603007,0.13064540693577648,0.99014986499671,0.015354787823602148,0.8527066935371433,0.2181623134884014,0.9939268900976529,0.0031188914388684246,0.994212159535352,0.002021562960134069,0.9997874925954133,0.00036772190308913353,1.0,0.0,0.9964749191900406,0.0017310053839209132,0.970392749244713,0.01804614443875302,0.9643564356435643,0.04866616129680995,1.0,0.0,0.9372553970458276,0.0398829646126759,0.9078189300411523,0.04712967342294792,0.990049751243781,0.017234336393720222,1.0,0.0,0.9467561521252797,0.03568201980329967,0.600473153605083,0.22119745479721847,0.990049751243781,0.017234336393720222,0.6238095238095238,0.4887162135789706,0.9943891948212201,0.0017842025478423805,0.9901436542200006,0.003314372703398166,0.9999687541254318,5.411944227890149e-05,1.0,0.0,0.9929155386987011,0.0027645912854015703,0.9078189300411523,0.04712967342294792,0.990049751243781,0.017234336393720222,1.0,0.0,0.9467561521252797,0.03568201980329967
1 head,3,0.9198665430831211,0.015358850098054953,0.9148567228829217,0.01215569771325063,0.9703532152337613,0.02375083017292736,0.4868253966172536,0.12643985991065407,0.38169998374776526,0.1898765180649049,0.5449049244271087,0.07708871271492423,0.6710872745002439,0.02994423851240994,0.9436047456525273,0.04698753496758353,0.9336507989038513,0.03717435591019558,0.8426458638062734,0.016504870493084217,0.8639424078040064,0.06448401716962487,0.822915650901999,0.08997708586958279,0.8383155300407209,0.025549069033978255,0.49333333333333335,0.11015141094572202,0.940059994388824,0.011258305442722449,0.9442845496273083,0.010949034487595237,0.972623610247911,0.022205599957663226,0.6291313370068868,0.18629517327884876,0.5196809612595815,0.278565281913646,0.7124507975968511,0.11209217057160707,0.8031385954008701,0.011623122566354923,0.921301093210409,0.015110515712867848,0.916673531031163,0.01084372563304939,0.8431171786120591,0.017176090240671817,0.8386996791950462,0.0262600307037934,0.8638431313072003,0.022584574954954265,0.8470392936317412,0.032943318869493365,0.7885421745490006,0.021005087526331578,0.7941398850920726,0.033650301406113144,0.8896572822887965,0.00866299404075496,0.8950425985282923,0.003207116320194615,0.7974971558589306,0.0032258127141656084,0.8015647025451562,0.015753835198006202,0.960725075528701,0.022052311288090307,0.9821782178217822,0.025894449169548577,1.0,0.0,0.9363295880149812,0.06623853746268601,0.8020330532847147,0.1787742862301589,0.9958932238193019,0.007113145000282841,0.8666907080177907,0.21638608361660397,0.9920881618310737,0.0040966164643186,0.9924252441509168,0.0034964236140082325,0.9998844376745367,0.00020015981914327726,1.0,0.0,0.9953457127205994,0.0021728086693742063,0.960725075528701,0.022052311288090307,0.9821782178217822,0.025894449169548577,1.0,0.0,0.9363295880149812,0.06623853746268601,0.8831275720164609,0.05038085907095602,1.0,0.0,1.0,0.0,0.9516778523489933,0.051667228490479306,0.648782153121803,0.2402049503022,0.9812206572769954,0.03252677572899296,0.6984126984126985,0.5223645292668042,0.9922852581295789,0.002665977905095567,0.9837455724299623,0.009496278214596223,0.9999781278878023,3.3905733405838516e-05,1.0,0.0,0.9895345722181489,0.0013450458207603115,0.8831275720164609,0.05038085907095602,1.0,0.0,1.0,0.0,0.9516778523489933,0.051667228490479306
lambda 0.5,3,0.9471444997992441,0.016857572338680783,0.9480532926602532,0.011337874203502721,0.9697789696083211,0.01159422678373507,0.503723551829656,0.07624344181645736,0.38696570778482037,0.11606776189373919,0.5688932228181375,0.04125485639831731,0.7086949455550138,0.006484702736564054,0.9424020802860392,0.024789192115609805,0.9130228386974905,0.045024642164742334,0.8703071672354948,0.02587635464408198,0.8958963243699066,0.02495899048266269,0.8403705509507557,0.08373847172823204,0.8648928172557527,0.03584896246281679,0.40666666666666673,0.011547005383792493,0.9575416906313321,0.0021228147481359588,0.958052693758859,0.00163287785185553,0.9727271942545404,0.014326928299168085,0.6410809357961019,0.1012825963849031,0.526413921690491,0.1620913634470813,0.7317174228299151,0.042185755103596935,0.8125129480008287,0.006348271574909731,0.9477402396851997,0.016904836531422284,0.9479364590947176,0.010755598116821202,0.87134731025516,0.02621199286451415,0.8658196247338225,0.03612708323554303,0.8758885000027338,0.017677690758643973,0.8567515880829771,0.022112093299640676,0.7962619860230782,0.011259561793953222,0.8037261233740516,0.02485853128719931,0.9034875631576816,0.01113163905852064,0.9088970674604139,0.010357688713981461,0.8039655452624737,0.006208842898194174,0.8100824582765517,0.014794627111792873,0.9550855991943604,0.020564529563607412,0.9432343234323431,0.05149784052749709,1.0,0.0,0.9384336994487228,0.033260511460076234,0.7890290881920498,0.10276058588934765,0.9846666666666666,0.02655811238272281,0.7804901480435388,0.22300862636262825,0.9908604280830692,0.0040251886018847875,0.9924255837373241,0.0016321879166045874,0.999463078615554,0.0005276533858908807,1.0,0.0,0.9945570856250029,0.0014762696506824817,0.9550855991943604,0.020564529563607412,0.9432343234323431,0.05149784052749709,1.0,0.0,0.9384336994487228,0.033260511460076234,0.8806584362139916,0.045884312311987925,0.9452736318407959,0.060320177378020604,1.0,0.0,0.9522371364653243,0.035364229461884014,0.6167445648106766,0.17814152419746074,0.9758454106280193,0.04183697602823375,0.46743295019157083,0.4797846730071186,0.99202942198162,0.0027820560975918727,0.9876429940506286,0.0011343567144608522,0.999857831270715,0.00012332228555361822,1.0,0.0,0.9903792557291373,0.0009176869777144952,0.8806584362139916,0.045884312311987925,0.9452736318407959,0.060320177378020604,1.0,0.0,0.9522371364653243,0.035364229461884014
lambda 2,3,0.9445221910357873,0.008597334829317174,0.9428614355606765,0.00994650274086421,0.9714989977788612,0.019500882503649685,0.48195236921310425,0.14569851688782312,0.3652527222493093,0.2147593585576379,0.5446123842028279,0.09191309901296145,0.6948480416057209,0.02602664343301828,0.9452624735901187,0.040416376656994275,0.9127671392204189,0.04840115232728746,0.8666016577279376,0.022225410764852245,0.8778689224861757,0.04123023219177913,0.8554851292052658,0.0691996945809109,0.8644537653532377,0.027104013587600447,0.3833333333333333,0.08504900548115382,0.9595830165941708,0.009247911892108497,0.9601289341401875,0.010015358184877619,0.9660114978247359,0.02543727941214091,0.613349199295044,0.19597038476569345,0.4947690076652165,0.30286807318338743,0.7016780609073959,0.10369169097077861,0.8127719080174022,0.014882880718356115,0.944752692256765,0.008790649147553094,0.9414629370810271,0.010470443179585485,0.867300503819275,0.023408313140569556,0.8650418762271066,0.028420102068518218,0.861230656294714,0.0068542370680374715,0.8368822660517218,0.02577102902352416,0.7843328457662929,0.023342005787332067,0.7982000396453613,0.02439901701929717,0.8946135957906791,0.007707937338252445,0.8962869252171196,0.014112911936916148,0.7979359661953517,0.013639014394990791,0.8087722219216852,0.005805849692145743,0.9677744209466265,0.014315694375763816,0.9537953795379538,0.07327624600067545,1.0,0.0,0.9388124395067963,0.05073315925510422,0.8096272538680743,0.15181567946581126,0.9638975400836309,0.055726185960495785,0.7502785845990663,0.1496864046631533,0.9935836568743411,0.00235060161696841,0.9938925501768191,0.00251074450535529,0.9993242278073962,0.0011704717719321373,0.9999996199367498,6.58288859316449e-07,0.996018685807698,0.001944742739475739,0.9677744209466265,0.014315694375763816,0.9537953795379538,0.07327624600067545,1.0,0.0,0.9388124395067963,0.05073315925510422,0.9185185185185185,0.07001208335189046,0.9601990049751244,0.0689373455748807,1.0,0.0,0.9342841163310962,0.06017676180837549,0.6169237153975243,0.261859554537901,0.8376811594202899,0.2811444789097308,0.2853506427389589,0.33452791350744837,0.9947831357889837,0.004393711318707734,0.987300183619202,0.007008386381485012,0.9978635633264045,0.0037004168658207786,1.0,0.0,0.9892855967890513,0.003056276893863923,0.9185185185185185,0.07001208335189046,0.9601990049751244,0.0689373455748807,1.0,0.0,0.9342841163310962,0.06017676180837549
seq len 64,3,0.9500817358242438,0.004876547111984093,0.9496495732118143,0.002861194097925392,0.9653204398938188,0.014840707283866448,0.5203355054060618,0.06887517206210331,0.41761742239557936,0.10793506846812588,0.5761092150170648,0.03528274433100704,0.6892897773443849,0.022207023972216834,0.9335933690882497,0.03091590286597326,0.8944821963363901,0.05272901139477418,0.8724199577441899,0.023702595826283843,0.8899135143312177,0.018490715964069857,0.8515520884121566,0.07428450421186383,0.868610361446756,0.031715908531296966,0.38999999999999996,0.010000000000000009,0.9593423157534087,0.004212675741444515,0.9604783570860221,0.004794638775253233,0.9595806574131621,0.01841893205423827,0.6672939658164978,0.09621916193263567,0.5709032525378083,0.1453841571197771,0.7406774394033562,0.049775645108334064,0.807644499689248,0.014385502795652854,0.9504359933352368,0.004104725837414843,0.949127395775232,0.0005791604835524841,0.8715910937753941,0.022616717462234905,0.8678843875675487,0.030776795123379965,0.869163361741859,0.007694442836597497,0.8427901781846295,0.006990274807212215,0.7872257435397367,0.004331670276439062,0.7993076232465658,0.017731734679685408,0.9043458602325251,0.004878342390596798,0.9096250507172431,0.005059382695637771,0.7988135868681944,0.01772823080862956,0.8087710276333047,0.008860293792204082,0.9615307150050353,0.010116711665558466,0.9016501650165015,0.06291090459376292,1.0,0.0,0.9283339645667633,0.039201645856231856,0.766480356155011,0.0874155585854582,0.8915822429901974,0.14481222527681367,0.7899955940542477,0.18983542371727974,0.9921892114420832,0.0011997396998971312,0.9929681959764866,0.002678551313968261,0.9951553863078616,0.00639290606706446,1.0,0.0,0.9952357291752197,0.002758489028250009,0.9615307150050353,0.010116711665558466,0.9016501650165015,0.06291090459376292,1.0,0.0,0.9283339645667633,0.039201645856231856,0.9218106995884775,0.05274558014818805,0.8955223880597014,0.06839665216351996,1.0,0.0,0.9210850111856823,0.04278501557166228,0.4964231621401187,0.08473321090651786,0.7316184637256208,0.4367639442390764,0.38585858585858585,0.2881391698572053,0.9946407778262748,0.003128548008174362,0.9882158914197087,0.003852447017442105,0.9924260000046868,0.01151771084399232,1.0,0.0,0.9897613407779219,0.005265797495088222,0.9218106995884775,0.05274558014818805,0.8955223880597014,0.06839665216351996,1.0,0.0,0.9210850111856823,0.04278501557166228
cross-entropy,3,0.9283792623387228,0.02480990643680531,0.915349176271238,0.03454260200103172,0.9741128988569262,0.005787086983674409,0.4821942249933879,0.11045049106091569,0.3627823825776044,0.155365923388694,0.5543637250121892,0.055775879381968096,0.6950755728912724,0.052799255917445276,0.9514058183000161,0.01109483771464476,0.9383052425961269,0.02607357038355924,0.8521696733300829,0.014458068722758075,0.8459055599445793,0.020731192651738613,0.8616609783845278,0.013500002650889248,0.8536104279809541,0.013365112323224963,0.39333333333333337,0.10066445913694333,0.9440936990086967,0.027979464440965697,0.9451560252956549,0.02561038268641497,0.9757527104481735,0.012580242778574304,0.612252672513326,0.1681211628141287,0.4846177750155376,0.24692117722639234,0.7157136938056764,0.09139931328388619,0.8192459084317382,0.03874329185964225,0.9291317653690792,0.025246102041993727,0.9183174597762367,0.03358098768597974,0.8515520884121566,0.014706781775479677,0.8530956255592613,0.013496434172164559,0.8594455270022836,0.010601282328482464,0.8323192895608518,0.02174369132404466,0.776060458313018,0.02253192841937987,0.793938497885568,0.0163569464324275,0.8892565200898935,0.01761593236943117,0.8906259492521963,0.018702009670105293,0.7896310742727124,0.005770893691986765,0.8037339947296172,0.006729104314927042,0.9641490433031219,0.02070607086979411,0.9795379537953796,0.035441303653224586,1.0,0.0,0.9458822539241677,0.020220894037478,0.8036193252789086,0.08071566200981659,0.9980314960629921,0.0034095488337969964,0.8730723606168446,0.21984512029640554,0.9925495402422323,0.004012400006738344,0.9945526827326168,0.0017756007087457858,0.9999765761191504,4.0571351741948334e-05,1.0,0.0,0.9966404354107926,0.0011569320550188498,0.9641490433031219,0.02070607086979411,0.9795379537953796,0.035441303653224586,1.0,0.0,0.9458822539241677,0.020220894037478,0.9069958847736626,0.06861947110154634,0.9850746268656717,0.025851504590580332,1.0,0.0,0.9568232662192395,0.03313846882402349,0.6566281978893238,0.2354502580664589,0.9857142857142858,0.024743582965269652,0.6991869918699187,0.5210234136589306,0.993829382663863,0.004405308955782575,0.9874628548111847,0.005054330634551981,0.9999953131188147,8.11791634179356e-06,1.0,0.0,0.991140164119339,0.002491776317177317,0.9069958847736626,0.06861947110154634,0.9850746268656717,0.025851504590580332,1.0,0.0,0.9568232662192395,0.03313846882402349
no memory,3,0.9332735526854105,0.011333203597664716,0.9335270411969928,0.011498761165326193,0.9729806598407281,0.006570954548908065,0.5862330396970113,0.012816167105079226,0.49182512595481875,0.02020607076443081,0.6276613034292216,0.014983573223991327,0.7584592881521209,0.007601043498744075,0.9472452462213554,0.014450750117247477,0.9215434829499073,0.02453793262485382,0.8480741101901511,0.018365945648445396,0.833276077671366,0.026708508601961656,0.872484966682919,0.0594883208153467,0.851185696105825,0.022658097117046583,0.39333333333333337,0.051316014394468853,0.9321359949208429,0.024332022660918294,0.9465577114591593,0.020211487524201942,0.9671725018990401,0.011583101875449276,0.7529730995496114,0.01682307784446411,0.6806505075616324,0.03160568545262416,0.7960948829500726,0.00867373035961508,0.8756474000414336,0.013403226110431562,0.9357718357410173,0.009880905800122162,0.935138841555216,0.010465597105758596,0.8514545750040631,0.01781491060279688,0.8539503848045534,0.02291485648181322,0.8524615923085328,0.03968235303655178,0.8429211812327307,0.0552695789874547,0.7517633674630262,0.03713764360280973,0.7783508552104971,0.03334864347021054,0.8830162499367065,0.027229513152241046,0.8949609749300427,0.024546030590143503,0.764862668616935,0.026221241809494828,0.787699414872116,0.01882810549962711,0.9488418932527694,0.028097218156322816,1.0,0.0,1.0,0.0,0.9423894289441569,0.022253940385733705,0.8263171968914463,0.08254294561947198,0.862373952292027,0.12176404404283427,0.8619612495057335,0.21088225618989276,0.9906426263809789,0.005594987880002561,0.9947584018361085,0.0017991584741979187,0.9999248540238638,0.00012875211274396932,1.0,0.0,0.9943216757626665,0.002398991630164715,0.9488418932527694,0.028097218156322816,1.0,0.0,1.0,0.0,0.9423894289441569,0.022253940385733705,0.9020576131687242,0.07140599580821057,1.0,0.0,1.0,0.0,0.9371364653243849,0.03064749380907563,0.5866944500845429,0.22191274540619044,0.661444097357803,0.3302858217325677,0.6991869918699187,0.5210234136589306,0.9950673549620178,0.0040475029959800325,0.9872649745860379,0.001808102690862969,0.9999984377062715,2.7059721139098205e-06,1.0,0.0,0.9905801750230294,0.003149984684288552,0.9020576131687242,0.07140599580821057,1.0,0.0,1.0,0.0,0.9371364653243849,0.03064749380907563
