u,i,ts,label,idx,original_date
55,4118,1552263535.0,3,110,2019-03-11 00:18:55
42,4132,1552263536.0,0,111,2019-03-11 00:18:56
4,4118,1552263541.0,3,112,2019-03-11 00:19:01
1,4118,1552263544.0,3,113,2019-03-11 00:19:04
38,4118,1552263546.0,3,114,2019-03-11 00:19:06
2,4118,1552263546.0,3,115,2019-03-11 00:19:06
20,4118,1552263549.0,3,116,2019-03-11 00:19:09
5,4118,1552263549.0,3,117,2019-03-11 00:19:09
11,4118,1552263550.0,3,118,2019-03-11 00:19:10
58,4118,1552263556.0,3,119,2019-03-11 00:19:16
5,4118,1552263557.0,3,120,2019-03-11 00:19:17
13,4118,1552263562.0,3,121,2019-03-11 00:19:22
28,4118,1552263564.0,3,122,2019-03-11 00:19:24
59,4118,1552263566.0,3,123,2019-03-11 00:19:26
14,4118,1552263567.0,3,124,2019-03-11 00:19:27
60,4118,1552263581.0,3,125,2019-03-11 00:19:41
27,4118,1552263583.0,3,126,2019-03-11 00:19:43
61,4118,1552263619.0,3,127,2019-03-11 00:20:19
62,4118,1552263634.0,3,128,2019-03-11 00:20:34
46,4125,1552263641.0,1,129,2019-03-11 00:20:41
11,4118,1552263648.0,3,130,2019-03-11 00:20:48
63,4133,1552263664.0,3,131,2019-03-11 00:21:04
23,4118,1552263672.0,3,132,2019-03-11 00:21:12
42,4134,1552263678.0,0,133,2019-03-11 00:21:18
64,4118,1552263685.0,3,134,2019-03-11 00:21:25
50,4127,1552263686.0,1,135,2019-03-11 00:21:26
65,4118,1552263695.0,3,136,2019-03-11 00:21:35
53,4135,1552263703.0,3,137,2019-03-11 00:21:43
66,4136,1552263729.0,3,138,2019-03-11 00:22:09
67,4128,1552263733.0,3,139,2019-03-11 00:22:13
68,4137,1552263772.0,3,140,2019-03-11 00:22:52
50,4131,1552263779.0,1,141,2019-03-11 00:22:59
69,4118,1552263799.0,3,142,2019-03-11 00:23:19
56,4125,1552263799.0,1,143,2019-03-11 00:23:19
70,4118,1552263811.0,3,144,2019-03-11 00:23:31
42,4138,1552263812.0,0,145,2019-03-11 00:23:32
1,4118,1552263813.0,3,146,2019-03-11 00:23:33
40,4118,1552263814.0,3,147,2019-03-11 00:23:34
51,4118,1552263816.0,3,148,2019-03-11 00:23:36
1,4118,1552263817.0,3,149,2019-03-11 00:23:37
5,4118,1552263819.0,3,150,2019-03-11 00:23:39
71,4118,1552263821.0,3,151,2019-03-11 00:23:41
11,4118,1552263822.0,3,152,2019-03-11 00:23:42
72,4118,1552263825.0,3,153,2019-03-11 00:23:45
11,4118,1552263832.0,3,154,2019-03-11 00:23:52
2,4118,1552263835.0,3,155,2019-03-11 00:23:55
73,4118,1552263837.0,3,156,2019-03-11 00:23:57
27,4118,1552263844.0,3,157,2019-03-11 00:24:04
5,4118,1552263845.0,3,158,2019-03-11 00:24:05
14,4118,1552263845.0,3,159,2019-03-11 00:24:05
13,4118,1552263852.0,3,160,2019-03-11 00:24:12
50,4139,1552263854.0,1,161,2019-03-11 00:24:14
21,4118,1552263865.0,3,162,2019-03-11 00:24:25
5,4118,1552263868.0,3,163,2019-03-11 00:24:28
41,4121,1552263887.0,3,164,2019-03-11 00:24:47
16,4118,1552263896.0,3,165,2019-03-11 00:24:56
65,4118,1552263897.0,3,166,2019-03-11 00:24:57
49,4118,1552263898.0,3,167,2019-03-11 00:24:58
21,4118,1552263902.0,3,168,2019-03-11 00:25:02
