metric,n,mean_dyrep,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9216047288535328,0.9535251605750107,0.03192043172147776,-0.00830473609107217,0.07214559953402769,0.5676670232908265,1.795120746166864,0.10620747593863544,5.0,0.01953125,1.0,
test_ap,10,0.9174077912230223,0.9533324171574741,0.03592462593445195,-0.009181444527221902,0.0810306963961258,0.5697443602066633,1.8016898622884574,0.10510914593795177,6.0,0.02734375,1.0,
test_link_f1,10,0.820858717409919,0.8800197228385876,0.05916100542866866,-0.026366896919535768,0.1446889077768731,0.494823708235779,1.56476995827568,0.1520763406366965,6.0,0.02734375,1.0,
test_link_acc,10,0.8357240370550951,0.8800243783520234,0.04430034129692835,-0.015445402593121466,0.10404608518697817,0.5304236422586905,1.6773468343398013,0.12778751749161588,6.0,0.02734375,1.0,
test_link_mrr,10,0.42051063030958175,0.5151012450456619,0.09459061473608017,-0.09814208366130321,0.28732331313346354,0.3510875427684259,1.1102362932600036,0.29567811875404726,15.0,0.232421875,1.0,
test_link_hits1,10,0.3389078498293515,0.421891760117016,0.08298391028766457,-0.13671907602369543,0.30268689659902454,0.2701971161402529,0.8544383042122426,0.4150263124930896,17.0,0.322265625,1.0,
test_link_hits3,10,0.4411799122379326,0.5597562164797659,0.1185763042418333,-0.07449425952969502,0.3116468680133616,0.43934391896349206,1.3893274600690777,0.1981423791273935,14.0,0.193359375,1.0,
test_link_hits10,10,0.5716626036079961,0.6727742564602632,0.10111165285226723,-0.07901582693058767,0.2812391326351221,0.4015540506599732,1.2698254037521548,0.2359946277863586,20.0,0.4921875,1.0,
test_category_accuracy,10,0.8266601657727938,0.9137201365187713,0.08705997074597757,-0.02897399302452465,0.20309393451647978,0.5367303613786523,1.6972904313218131,0.12387119689634413,4.0,0.013671875,1.0,
test_f1_macro,10,0.800824360720463,0.8773657476841583,0.07654138696369527,0.03229718830684835,0.12078558562054217,1.2375500386326699,3.9134768405086064,0.003545955961256892,0.0,0.001953125,0.060281251341367165,
test_auc_historical,10,0.8527784660346918,0.8826420466309972,0.029863580596305683,-0.010544121187246704,0.07027128237985807,0.5286892763912271,1.671862287902563,0.12888413112355238,12.0,0.130859375,1.0,
test_ap_historical,10,0.8182071560312713,0.855548103749069,0.03734094771779776,-0.0057905872973444475,0.08047248273293997,0.6193172771624827,1.9584531901272275,0.08184762585533546,10.0,0.083984375,1.0,
test_auc_inductive,10,0.8594992955119822,0.9087284522587238,0.049229156746741706,-0.008571204708491528,0.10702951820197494,0.6092767651837154,1.9267023034001187,0.08612657940338049,7.0,0.037109375,1.0,
test_ap_inductive,10,0.8519105748844323,0.9118104689727226,0.05989989408829025,-0.0008339456109119694,0.12063373378749248,0.7055342312488878,2.2310951379624293,0.052602648289883536,6.0,0.02734375,0.8416423726381366,
nn_test_auc,10,0.8733936484044651,0.9576098527220834,0.0842162043176183,-0.04063277464731195,0.20906518328254853,0.4825401365129891,1.5259258938296256,0.16137066787399482,6.0,0.02734375,1.0,
nn_test_ap,10,0.8800928517270187,0.9613218894242092,0.08122903769719066,-0.03317413997166532,0.19563221536604664,0.5079207961358532,1.606186586755346,0.1426953348568612,5.0,0.01953125,1.0,
nn_test_link_mrr,10,0.4999370561912656,0.6744576632976532,0.17452060710638764,-0.0731137492762628,0.4221549634890381,0.5041486300666406,1.59425795026423,0.14534252451008123,13.0,0.16015625,1.0,
