metric,n,mean_tgn_attn,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_mrr,10,0.40325734615325926,0.4573462039232254,0.05408885776996612,-0.024530206299204285,0.13270792183913654,0.49215592172106865,1.556333676578113,0.15405342034916059,10.0,0.1640625,0.7702671017458029,
test_link_hits1,10,0.27412969283276445,0.3466796684544125,0.072549975621648,-0.03413501770545138,0.17923496894874738,0.48647072536082925,1.5383555071344572,0.158343181196439,10.0,0.1640625,0.7702671017458029,
test_link_hits3,10,0.4633349585568016,0.5008191126279863,0.0374841540711848,-0.03234323372654499,0.10731154186891459,0.38401190886539566,1.2143522806436564,0.2555137009089256,18.0,0.65234375,0.7702671017458029,
test_category_accuracy,10,0.8368113115553388,0.8392296440760605,0.002418332520721639,-0.11543144471481484,0.12026810975625812,0.01467945812213223,0.046420522482996024,0.9639888033521959,15.0,0.42578125,1.0,
test_f1_macro,10,0.8140517084599745,0.8281336836832536,0.01408197522327892,-0.055629481624742155,0.0837934320713,0.1445047726895458,0.45696421446386043,0.6585261794809713,21.0,0.91015625,1.0,
