metric,n,mean_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_mrr,25,0.42755013406276704,0.4687520170211792,0.04120188295841217,-0.029193005573155538,0.11159677148997987,0.24159852724562392,1.2079926362281195,0.23881931178609483,129.0,0.3809836506843567,0.9552772471443793,
test_link_hits1,25,0.29699073622623107,0.3566026328620185,0.05961189663578741,-0.02799389294531767,0.1472176862168925,0.28087848602429805,1.4043924301214903,0.17301200480626988,118.0,0.24106645584106445,0.8650600240313494,
test_link_hits3,25,0.4919161384690394,0.5219892735251097,0.030073135056070215,-0.03648045944775055,0.09662672955989099,0.18652005394631357,0.9326002697315678,0.36031433570090765,147.0,0.6915188431739807,0.9552772471443793,
test_category_accuracy,25,0.9268259385665529,0.9172657240370551,-0.0095602145294978,-0.03546975377630249,0.016349324717306886,-0.1523092543509374,-0.7615462717546869,0.4537496566019896,125.0,0.325391948223114,0.9552772471443793,
test_f1_macro,25,0.892425174415924,0.8671883641480281,-0.025236810267895895,-0.07004068241911972,0.019567061883327925,-0.2325076557498701,-1.1625382787493503,0.25644689654544484,122.0,0.2872292995452881,0.9552772471443793,
