metric,n,mean_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9337640213559595,0.9325128306678006,-0.0012511906881589653,-0.026311756354149594,0.02380937497783166,-0.03571539092093847,-0.1129419828334643,0.9125556580502767,21.0,0.556640625,1.0,
test_ap,10,0.927421193026426,0.9329314152696846,0.0055102222432586,-0.015851838695309626,0.026872283181826825,0.1845222493505536,0.5835105869252749,0.5738795312727294,21.0,0.556640625,1.0,
test_auc_historical,10,0.8440140127385506,0.8532184635528779,0.00920445081432728,-0.012639950242578515,0.031048851871233074,0.30142586370500385,0.9531922749912924,0.36538997717511107,19.0,0.734375,1.0,
