metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9366681441857688,0.9535251605750107,0.016857016389241676,-0.0015430790525588212,0.03525711183104217,0.6553652466774774,2.0724468788189263,0.06809357100641164,10.0,0.083984375,1.0,
test_ap,10,0.9287472705702656,0.9533324171574741,0.024585146587208416,-0.00016313430100383178,0.04933342747542066,0.7106414572754233,2.2472456047315728,0.05123329052923876,9.0,0.064453125,1.0,
test_category_mrr,10,0.956059645701284,0.9537591418820088,-0.0023005038192751236,-0.018721191963235007,0.014120184324684761,-0.10021999564833646,-0.31692345334090655,0.7585298344124154,24.0,0.76953125,1.0,
test_link_mrr,10,0.43225623220205306,0.5151012450456619,0.08284501284360886,-0.032686542158075926,0.19837656784529364,0.5129659343894382,1.622140714747119,0.1392226185110712,14.0,0.193359375,1.0,
test_link_hits1,10,0.31313505607020964,0.421891760117016,0.10875670404680644,-0.025720737950727893,0.2432341460443408,0.5785346460703588,1.8294871869017155,0.10057747463960268,13.0,0.16015625,1.0,
test_link_hits3,10,0.4861921014139444,0.5597562164797659,0.07356411506582154,-0.04224117545264784,0.18936940558429094,0.45442308817111543,1.4370119799882441,0.18455442306174458,18.0,0.375,1.0,
test_link_hits10,10,0.6514773281326183,0.6727742564602632,0.02129692832764507,-0.07993440767053468,0.12252826432582482,0.15049593690452842,0.47590993921930025,0.6454783337926597,26.0,0.921875,1.0,
test_category_accuracy,10,0.9210336421257923,0.9137201365187713,-0.007313505607020987,-0.03837098465977434,0.023743973445732373,-0.16845432734418364,-0.5326993561192033,0.607141594006114,22.0,0.625,1.0,
test_f1_macro,10,0.8762482335507109,0.8773657476841583,0.0011175141334474393,-0.0527718634556382,0.055006891722533084,0.014834490369830465,0.04691077749649785,0.9636087912077266,27.0,1.0,1.0,
test_link_acc,10,0.8568990736226232,0.8800243783520234,0.02312530472940031,-0.0021571818836507925,0.04840779134245141,0.6543203876280501,2.0691427443888974,0.06845903293522948,10.0,0.083984375,1.0,
test_link_precision,10,0.8603646210676749,0.8797652695252506,0.01940064845757563,-0.012808771237841597,0.051610068152992856,0.43087978565507884,1.3625615203951955,0.2061393724710576,15.0,0.232421875,1.0,
test_link_recall,10,0.8563725012189176,0.8820770355923939,0.02570453437347634,0.0034922931644476227,0.04791677558250506,0.8278280433652236,2.617822127994747,0.02791043569223146,7.0,0.037109375,1.0,
test_link_f1,10,0.857059386549517,0.8800197228385876,0.022960336289070616,6.874146413377025e-05,0.04585193111400746,0.7175050604120956,2.2689502235989334,0.04944785903096404,7.0,0.037109375,1.0,
tuned_link_threshold,10,0.39999999999999997,0.402,0.0020000000000000074,-0.08527484553673768,0.08927484553673769,0.01639319786981561,0.051839843402437774,0.9597886729906535,26.0,0.8984375,1.0,
nn_test_auc,10,0.8990959511078339,0.9576098527220834,0.058513901614249554,-0.0027455749547334596,0.11977337818323257,0.6832954827471576,2.1607700403853047,0.05899346945956851,0.0,0.001953125,1.0,
nn_test_ap,10,0.9060618149708948,0.9613218894242092,0.05526007445331456,0.005064583858428229,0.10545556504820089,0.7875344063010086,2.4904024596596472,0.034399285365914516,0.0,0.001953125,1.0,
nn_test_category_mrr,10,0.9510720944686142,0.953822249844624,0.002750155376009955,-0.019259878725518237,0.02476018947753815,0.08938389789157462,0.28265670348129796,0.7838330849394531,23.0,0.6953125,1.0,
nn_test_link_mrr,10,0.51848503947258,0.6744576632976532,0.15597262382507324,-0.0054880342273215255,0.317433281877468,0.6910419847256152,2.1852666305362307,0.05668589729634099,9.0,0.064453125,1.0,
nn_test_link_hits1,10,0.39676817899316347,0.5892635177128651,0.19249533871970168,0.0011933550203328258,0.3837973224190705,0.7198193518824195,2.2762686558146568,0.04885970839121635,8.0,0.048828125,1.0,
nn_test_link_hits3,10,0.5844157862026103,0.7314947172156618,0.14707893101305164,-0.022054852880824982,0.31621271490692826,0.6220751797818594,1.967174443969402,0.08070807514162624,11.0,0.10546875,1.0,
nn_test_link_hits10,10,0.7322871348663766,0.8112647607209447,0.07897762585456806,-0.04220835186287415,0.2001636035720103,0.46620237040923734,1.474261341062675,0.17450927411475078,17.0,0.322265625,1.0,
test_auc_random_cc,10,0.9373692931656699,0.9542844015869344,0.01691510842126457,-0.00089130927650969,0.03472152611903883,0.6795493529227193,2.148923737729393,0.06014187266781062,10.0,0.083984375,1.0,
test_ap_random_cc,10,0.9288826332070501,0.9534038036807944,0.024521170473744337,-0.0012260853488860537,0.05026842629637473,0.6812915815851363,2.1544331485074593,0.05960510661093229,11.0,0.10546875,1.0,
test_link_acc_random_cc,10,0.858137493905412,0.8810628961482205,0.02292540224280839,-0.0012352434106532792,0.04708604789627006,0.6787833840110404,2.1465015313516074,0.06037934237195212,9.0,0.064453125,1.0,
test_link_f1_random_cc,10,0.8580142429204132,0.8809253332524054,0.022911090331992366,0.0007018235571503231,0.04512035710683441,0.7379625297163837,2.333642421763464,0.04448101652404637,8.0,0.048828125,1.0,
test_auc_historical,10,0.8538395759426672,0.8826420466309972,0.028802470688330084,-0.004171391399769686,0.061776332776429854,0.6248599651707327,1.9759807085929997,0.07957272746440587,8.0,0.048828125,1.0,
test_ap_historical,10,0.808995712757579,0.855548103749069,0.04655239099148996,-0.009272365667042683,0.10237714765002259,0.5965377437989935,1.8864179806628052,0.0918602805430124,9.0,0.064453125,1.0,
