metric,n,mean_e_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9193195356049383,0.9181243970370371,-0.001195138567901144,-0.004753267978981111,0.0023629908431788225,-0.2402809255553406,-0.7598350030482351,0.466789436505691,20.0,0.4921875,1.0,
test_ap,10,0.8876451264033693,0.8865545215172105,-0.001090604886158819,-0.0064063478345214465,0.004225138062203808,-0.1467662647681963,-0.46411568034282463,0.6535863135413545,27.0,1.0,1.0,
test_auc_historical,10,0.7942474331851852,0.7867307657283951,-0.007516667456790138,-0.022966813082540116,0.00793347816895984,-0.3480290804598008,-1.1005645862269715,0.29964964009600176,19.0,0.431640625,1.0,
test_link_mrr,10,0.5271550416946411,0.5223789304494858,-0.004776111245155335,-0.019437189025406303,0.009884966535095631,-0.2330404499666691,-0.7369386088451846,0.47992864536618846,20.0,0.4921875,1.0,
test_f1_macro,10,0.3429775165268968,0.34914573221822376,0.006168215691326989,-0.022085770043227527,0.0344222014258815,0.15617179585784735,0.4938585811896473,0.6332341583963146,26.0,0.921875,1.0,
