metric,n,mean_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9350576453531012,0.9325128306678006,-0.0025448146853006117,-0.027431551486943397,0.022341922116342176,-0.07314943594473934,-0.23131882714196708,0.8222404428364899,20.0,0.4921875,1.0,
test_ap,10,0.9289171506391156,0.9329314152696846,0.004014264630568887,-0.018757740621857942,0.02678626988299572,0.12610360370284915,0.3987746088562464,0.6993551090033611,22.0,0.625,1.0,
test_auc_historical,10,0.8471799531260512,0.8532184635528779,0.00603851042682676,-0.014960996581823703,0.02703801743547722,0.20570435933695733,0.6504943001305089,0.5316259263499747,19.0,0.734375,1.0,
