metric,gain_A,gain_B,interaction,ci95_lo,ci95_hi,dz,p_ttest,p_wilcoxon
test_auc,0.0005652165925927099,0.00883570409876544,-0.00827048750617273,-0.018281520928172285,0.001740545915826822,-0.5909829788684355,0.09447131076241419,0.064453125
test_ap,0.0011077499228988263,0.014670835980587094,-0.013563086057688268,-0.029944889051448154,0.0028187169360716167,-0.592269805792291,0.09386030383958407,0.16015625
test_auc_historical,-0.005792002271604935,0.02362916888888894,-0.029421171160493875,-0.06963830478459002,0.010795962463602263,-0.5233251620596385,0.13233017604506467,0.10546875
