metric,n,mean_bigru,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_mrr,25,0.5047746711969375,0.4687520170211792,-0.03602265417575837,-0.09162255823368022,0.019577249882163486,-0.2674360878821642,-1.337180439410821,0.19370032833824388,114.0,0.2002161741256714,0.7898696030004386,
test_link_hits1,25,0.39902096538274007,0.3566026328620185,-0.0424183325207216,-0.12164950261839871,0.036812837576955505,-0.22099165105916635,-1.1049582552958317,0.28013237995335866,121.0,0.2751842737197876,0.840397139860076,
test_link_hits3,25,0.553938566552901,0.5219892735251097,-0.03194929302779131,-0.07719506534427387,0.013296479288691258,-0.29147518784233223,-1.457375939211661,0.15797392060008772,99.0,0.09031611680984497,0.7898696030004386,
test_category_accuracy,25,0.9215095075572891,0.9172657240370551,-0.004243783520234028,-0.030545955990276683,0.02205838894980863,-0.06660087651122851,-0.3330043825561425,0.7420225114901781,131.0,0.4107651710510254,0.840397139860076,
test_f1_macro,25,0.888444282973415,0.8671883641480281,-0.021255918825386976,-0.06344280855043714,0.020930970899663188,-0.20797959070089309,-1.0398979535044655,0.3087507585640567,127.0,0.3525196313858032,0.840397139860076,
