metric,gain_A,gain_B,interaction,ci95_lo,ci95_hi,dz,p_ttest,p_wilcoxon
test_auc,0.021012329907210137,-0.0014715248724564312,0.02248385477966657,-0.00012281447203731435,0.045090524031370455,0.7114706111898264,0.05101429311310698,0.037109375
test_ap,0.020401001887789615,-0.0037471963761432025,0.02414819826393282,0.0005296091232611447,0.047766787404604494,0.7313976415765661,0.04601887689053925,0.048828125
test_auc_historical,0.02942358307811941,-0.007699938263695538,0.037123521341814944,0.01645893003377795,0.05778811264985194,1.2851242480410507,0.002825285888221742,0.00390625
test_link_mrr,0.05775504112243651,0.01577148735523225,0.041983553767204265,-0.06771541542271083,0.15168252295711937,0.27377855367597487,0.40910488860275823,0.431640625
