metric,n,mean_e_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9205982899753085,0.9181243970370371,-0.0024738929382715157,-0.00588392145205433,0.0009361355755112982,-0.5189740762787363,-1.6411401276227684,0.1351866158701826,12.0,0.130859375,0.5407464634807304,
test_ap,10,0.8888184508776646,0.8865545215172105,-0.002263929360454153,-0.008523536129863639,0.003995677408955334,-0.25872511841241574,-0.8181606620800008,0.43439166674020274,20.0,0.4921875,0.8687833334804055,
test_auc_historical,10,0.7996531066666667,0.7867307657283951,-0.012922340938271593,-0.025651514458458567,-0.00019316741808462004,-0.7262125712121049,-2.296485790477478,0.047270413382008804,6.0,0.02734375,0.236352066910044,
test_link_mrr,10,0.5298811018466949,0.5223789304494858,-0.007502171397209168,-0.019919348564148242,0.004915005769729906,-0.43220210572964773,-1.3667430636265967,0.20487216975163625,14.0,0.193359375,0.6146165092549087,
test_f1_macro,10,0.34556828622902824,0.34914573221822376,0.0035774459891955213,-0.026602181468881998,0.033757073447273044,0.08479729240074234,0.26815258340163334,0.7946266509549338,26.0,0.921875,0.8687833334804055,
