metric,n,mean_BiGRU,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9491893650003889,0.9535251605750107,0.004335795574621904,-0.0065591267830045815,0.015230717932248389,0.2846868665394081,0.9002589182009072,0.3914347361401778,21.0,0.556640625,1.0,
test_ap,10,0.9462016129436265,0.9533324171574741,0.007130804213847652,-0.006189520820116933,0.020451129247812238,0.38295387135777575,1.2110064722696896,0.2567320128562002,18.0,0.375,1.0,
test_auc_historical,10,0.8562057994090717,0.8826420466309972,0.026436247221925713,-0.0018052531977388805,0.05467774764159031,0.6696298616267695,2.117555552003976,0.06328840411057406,9.0,0.064453125,0.3164420205528703,
test_link_mrr,10,0.49671238511800764,0.5151012450456619,0.01838885992765426,-0.07659711649178055,0.11337483634708909,0.13848989543558732,0.43794350249501257,0.671749635656616,26.0,0.921875,1.0,
test_link_hits1,10,0.38567528035104826,0.421891760117016,0.03621647976596783,-0.08816723907300442,0.16060019860494007,0.20828858593681515,0.6586663421760521,0.5265997700513163,23.0,0.6953125,1.0,
