metric,n,mean_gru,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_mrr,10,0.47596023976802826,0.5151012450456619,0.03914100527763366,-0.05530384478599919,0.1335858553412665,0.2964670748391725,0.9375112077393823,0.37297047734994293,20.0,0.4921875,1.0,
test_link_hits1,10,0.36083861530960504,0.421891760117016,0.06105314480741103,-0.07235790135689468,0.19446419097171674,0.327370109334273,1.0352351833546516,0.32757321535711187,19.0,0.431640625,1.0,
test_link_hits3,10,0.5251487079473428,0.5597562164797659,0.03460750853242321,-0.03579101857490338,0.1050060356397498,0.35166531523258443,1.1120633702160727,0.29493252134133796,18.0,0.375,1.0,
test_category_accuracy,10,0.8663188688444661,0.9137201365187713,0.047401267674305185,-0.05400021682250348,0.14880275217111386,0.3344016544811573,1.057470881489109,0.31785321172462405,16.5,0.51171875,1.0,
test_f1_macro,10,0.7971891597667063,0.8773657476841583,0.08017658791745193,-0.023621113703230154,0.183974289538134,0.5525640256805572,1.7473608742223328,0.11451819500127254,11.0,0.10546875,0.5725909750063627,
