metric,n,mean_dyrep,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9216047288535328,0.9325128306678006,0.010908101814267624,-0.042019645393372294,0.06383584902190755,0.14743091054404675,0.4662174748317217,0.6521378696507902,24.0,0.76953125,1.0,
test_ap,10,0.9174077912230223,0.9329314152696846,0.015523624046662332,-0.040607989475191425,0.07165523756851609,0.19783738557860417,0.6256167447613378,0.5471010129611044,24.0,0.76953125,1.0,
test_auc_historical,10,0.8527784660346918,0.8532184635528779,0.00043999751818627473,-0.05951726423792557,0.06039725927429812,0.005249660408522903,0.01660088383334238,0.987117212580272,17.0,0.5703125,1.0,
