metric,gain_A,gain_B,interaction,ci95_lo,ci95_hi,dz,p_ttest,p_wilcoxon
test_auc,0.021012329907210137,0.02530225614456901,-0.004289926237358877,-0.05856033392201186,0.04998048144729411,-0.056546992936396326,0.8620418143707875,0.375
test_ap,0.020401001887789615,0.026706631825090622,-0.006305629937301005,-0.0654015131248981,0.05279025325029609,-0.07632978269948851,0.8146732043424357,0.275390625
test_auc_historical,0.02942358307811941,0.03954460382622453,-0.010121020748105124,-0.07643403906105861,0.056191997564848356,-0.10918130816276095,0.7378298761421673,0.322265625
test_link_mrr,0.05775504112243651,0.07218639589846135,-0.014431354776024825,-0.2923898551918194,0.2635271456397698,-0.03714068569984079,0.9090834501170091,0.921875
