metric,n,mean_cat_tgn_mean,mean_BiTA-cat,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9335861204806447,0.9535251605750107,0.019939040094365958,-0.005684559020555445,0.04556263920928736,0.556655993795367,1.760300813577917,0.11220906101820644,11.0,0.10546875,0.3366271830546193,
test_ap,10,0.9251699542629723,0.9533324171574741,0.028162462894501705,0.0005195122558580151,0.055805413533145394,0.728801081479371,2.3046713786687696,0.046641485912540186,9.0,0.064453125,0.18656594365016074,
test_auc_historical,10,0.8394800148623556,0.8826420466309972,0.04316203176864171,0.008387897387245685,0.07793616615003773,0.8879087301722082,2.8078139416920473,0.02044993820103105,6.0,0.02734375,0.10224969100515525,
test_link_mrr,10,0.4411050707101822,0.5151012450456619,0.07399617433547974,-0.05905162437127438,0.20704397304223388,0.3978545668610715,1.2581266087807332,0.24000524766908432,16.0,0.275390625,0.39909579853824284,
test_link_hits1,10,0.3141589468551926,0.421891760117016,0.10773281326182352,-0.06828633445497115,0.2837519609786182,0.4378353887412907,1.3845570686477215,0.19954789926912142,16.0,0.275390625,0.39909579853824284,
