metric,n,mean_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_mrr,10,0.42533358335495,0.4573462039232254,0.03201262056827546,-0.02968638251438404,0.09371162365093497,0.3711640068325604,1.1737236470651895,0.27062953953485824,12.0,0.25,1.0,
test_link_hits1,10,0.28259385665529,0.3466796684544125,0.06408581179912239,-0.02605690251137832,0.1542285261096231,0.5085738586407101,1.6082517517251487,0.14224146206213448,10.0,0.1640625,0.7112073103106724,
test_link_hits3,10,0.4963042418332521,0.5008191126279863,0.004514870794734294,-0.04283179625426634,0.051861537843734935,0.06821481223241903,0.2157141768151594,0.8340200179800047,22.0,1.0,1.0,
test_category_accuracy,10,0.7972208678693321,0.8392296440760605,0.04200877620672848,-0.07077348131376913,0.15479103372722608,0.26645386279307004,0.8426010977760958,0.421278530980383,20.0,0.8203125,1.0,
test_f1_macro,10,0.7985267540223745,0.8281336836832536,0.029606929660878956,-0.06107861188217871,0.12029247120393662,0.23354904472221072,0.7385469266787126,0.4789980242654546,22.0,1.0,1.0,
