metric,n,mean_TGN-Last-cat,mean_BiTA-cat,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_auc,10,0.9410194858033838,0.9535251605750107,0.012505674771626762,-0.0016053302935922671,0.02661667983684579,0.6339747431426112,2.004804167350866,0.07596206488642848,11.0,0.10546875,0.22788619465928545,
test_ap,10,0.9404746609652019,0.9533324171574741,0.012857756192272274,0.00047248695093477476,0.025243025433609775,0.7426471325088254,2.3484564365207645,0.04341472447038601,9.0,0.064453125,0.17365889788154404,
test_auc_historical,10,0.8462479826349112,0.8826420466309972,0.0363940639960861,0.01362049349978085,0.05916763449239135,1.1431999659501066,3.6151157134292737,0.005614339685141678,3.0,0.009765625,0.02807169842570839,*
test_link_mrr,10,0.4970926970243454,0.5151012450456619,0.018008548021316517,-0.05575393155736506,0.0917710275999981,0.17464894438386475,0.5522884551970852,0.5941984487944841,22.0,0.625,1.0,
test_link_hits1,10,0.39224768405655774,0.421891760117016,0.029644076060458314,-0.07075864076032912,0.13004679288124574,0.21121036564000617,0.6679058208593865,0.5209515451728175,21.0,0.556640625,1.0,
