DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-13 01:01:38+01:00,5079.0,67.205.216.43,143.166.239.109,Anomaly.Traffic,tcp,20004.0
2019-03-13 01:01:38+01:00,13086.0,42.147.253.202,143.166.101.37,Anomaly.Traffic,tcp,1002.0
2019-03-13 01:02:02+01:00,9281.0,42.147.230.217,143.166.51.112,Anomaly.Traffic,tcp,451.0
2019-03-13 01:02:02+01:00,10515.0,42.147.225.111,143.166.243.193,Anomaly.Traffic,tcp,102.0
2019-03-13 00:02:32+00:00,710.0,75.243.177.182,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 00:02:29+00:00,598.0,185.127.90.92,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 01:02:40+01:00,15624.0,77.123.193.38,143.166.189.113,Anomaly.Traffic,tcp,1251.0
2019-03-13 00:02:23+00:00,201150.0,39.227.148.15,82.182.99.30,Recon.Scanning,tcp,OtherPort
2019-03-13 00:02:19+00:00,17850.0,185.186.169.243,77.111.207.155,Recon.Scanning,tcp,OtherPort
2019-03-13 01:03:00+01:00,12884.0,42.147.224.57,143.166.113.186,Anomaly.Traffic,tcp,1627.0
2019-03-13 01:03:00+01:00,17865.0,42.147.249.97,143.166.225.254,Anomaly.Traffic,tcp,1931.0
2019-03-13 01:03:00+01:00,8354.0,77.123.201.7,143.166.104.243,Anomaly.Traffic,tcp,304.0
2019-03-13 01:03:22+01:00,10436.0,42.147.251.203,143.166.115.220,Anomaly.Traffic,tcp,653.0
2019-03-13 00:03:19+00:00,416.0,230.202.56.26,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-13 00:04:17+00:00,307.0,185.127.90.92,79.67.184.55,Availability.DDoS,udp,OtherPort
2019-03-13 00:04:13+00:00,293.0,75.243.177.182,79.67.184.55,Availability.DDoS,udp,OtherPort
2019-03-13 01:04:21+01:00,9913.0,42.147.253.202,143.166.229.230,Anomaly.Traffic,tcp,1000.0
2019-03-13 00:04:18+00:00,168.0,245.47.52.210,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:04:18+00:00,151.0,245.47.61.196,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:04:24+00:00,271.0,245.47.63.151,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 01:04:49+01:00,6774.0,42.147.230.217,143.166.144.80,Anomaly.Traffic,tcp,451.0
2019-03-13 01:04:49+01:00,9204.0,42.147.225.111,143.166.243.155,Anomaly.Traffic,tcp,0.0
2019-03-13 00:54:47+01:00,70.0,78.234.46.210,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:57:26+01:00,12.0,71.48.17.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:37+01:00,4.0,30.208.174.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:36+01:00,4.0,96.59.244.178,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:55:00+01:00,4.0,100.248.196.140,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:20+01:00,4.0,232.181.79.2,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:10+01:00,4.0,118.161.3.85,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 00:53:40+01:00,15.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 00:54:00+01:00,4.0,129.145.204.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:57:47+01:00,10.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:56:15+01:00,5.0,78.234.46.210,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:56:26+01:00,16.0,130.25.192.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:53:33+01:00,51.0,78.234.46.210,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:19+01:00,6.0,185.185.131.221,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:55:20+01:00,17.0,78.234.46.210,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:54:13+01:00,10.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 01:05:29+01:00,4366.0,67.205.216.43,143.166.110.14,Anomaly.Traffic,tcp,20000.0
2019-03-13 01:05:29+01:00,11479.0,77.123.193.38,143.166.111.197,Anomaly.Traffic,tcp,1252.0
2019-03-13 01:05:42+01:00,14486.0,42.147.249.97,143.166.248.126,Anomaly.Traffic,tcp,1933.0
2019-03-13 01:05:42+01:00,10122.0,42.147.224.57,143.166.154.171,Anomaly.Traffic,tcp,1633.0
2019-03-13 00:05:20+00:00,212.0,230.4.33.26,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-13 01:06:14+01:00,7362.0,77.123.201.7,143.166.126.176,Anomaly.Traffic,tcp,303.0
2019-03-13 01:06:30+01:00,7429.0,42.147.251.203,143.166.126.140,Anomaly.Traffic,tcp,652.0
2019-03-13 00:06:49+00:00,256.0,185.127.90.92,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:06:54+00:00,507.0,185.127.91.213,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:00:27+00:00,2200.0,227.83.217.149,142.33.74.131,Recon.Scanning,tcp,OtherPort
2019-03-13 01:07:27+01:00,8223.0,42.147.253.202,143.166.112.250,Anomaly.Traffic,tcp,1004.0
2019-03-13 00:05:25+00:00,150.0,253.70.159.203,142.252.14.194,Recon.Scanning,tcp,OtherPort
2019-03-13 00:01:20+00:00,850.0,179.227.104.146,142.229.26.39,Recon.Scanning,tcp,OtherPort
2019-03-13 00:03:59+00:00,19000.0,185.186.169.243,224.177.176.70,Recon.Scanning,tcp,OtherPort
2019-03-13 00:01:22+00:00,5400.0,42.127.114.150,224.177.68.66,Recon.Scanning,tcp,OtherPort
2019-03-13 00:07:34+00:00,392.0,75.243.177.182,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 00:07:30+00:00,338.0,185.127.90.92,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 01:08:09+01:00,7756.0,42.147.225.111,143.166.119.19,Anomaly.Traffic,tcp,1.0
2019-03-13 01:08:22+01:00,6093.0,42.147.230.217,143.166.228.46,Anomaly.Traffic,tcp,452.0
2019-03-13 00:08:22+00:00,446.0,230.202.56.26,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-13 01:08:49+01:00,10145.0,77.123.193.38,143.166.60.145,Anomaly.Traffic,tcp,1252.0
2019-03-13 01:09:04+01:00,12633.0,42.147.249.97,143.166.229.65,Anomaly.Traffic,tcp,1934.0
2019-03-13 01:09:04+01:00,8849.0,42.147.224.57,143.166.55.168,Anomaly.Traffic,tcp,1627.0
2019-03-13 00:09:15+00:00,21.0,75.243.177.182,79.67.184.55,Availability.DDoS,udp,OtherPort
2019-03-13 00:09:22+00:00,228.0,245.47.52.210,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:09:18+00:00,76.0,185.127.90.92,79.67.184.55,Availability.DDoS,udp,OtherPort
2019-03-13 01:09:34+01:00,7395.0,77.123.201.7,143.166.122.60,Anomaly.Traffic,tcp,301.0
2019-03-13 00:09:22+00:00,158.0,245.47.61.196,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:09:30+00:00,187.0,245.47.63.151,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:02:05+00:00,50.0,253.70.159.203,142.252.14.194,Recon.Scanning,tcp,OtherPort
2019-03-13 00:03:59+00:00,4300.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-13 01:09:47+01:00,7251.0,42.147.251.203,143.166.63.168,Anomaly.Traffic,tcp,655.0
2019-03-13 00:59:19+01:00,13.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 01:00:44+01:00,5.0,171.200.32.148,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:58:38+01:00,13.0,130.25.192.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:48+01:00,37.0,10.23.202.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 01:00:50+01:00,138.0,114.228.154.141,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 01:02:02+01:00,4.0,185.183.222.97,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:12+01:00,4.0,185.183.222.43,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:15+01:00,20.0,185.128.206.5,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:16+01:00,4.0,185.183.222.11,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:19+01:00,240.0,82.56.109.124,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 01:01:14+01:00,9.0,118.220.42.109,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:04+01:00,5.0,130.25.157.173,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:58:59+01:00,5.0,175.40.72.234,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 01:00:34+01:00,4.0,71.48.17.99,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:59:40+01:00,8.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-13 01:00:00+01:00,4.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-13 00:10:07+00:00,1851.0,224.177.31.162,191.82.154.87,Availability.DDoS,udp,OtherPort
2019-03-13 01:10:22+01:00,8368.0,42.147.253.202,143.166.241.186,Anomaly.Traffic,tcp,1000.0
2019-03-13 00:10:21+00:00,248.0,230.4.33.26,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-13 00:11:32+00:00,1778.0,224.177.31.162,50.72.65.128,Availability.DDoS,udp,OtherPort
2019-03-13 00:12:19+00:00,171.0,185.127.91.213,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:12:19+00:00,191.0,185.127.90.92,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 00:12:33+00:00,299.0,185.127.90.92,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 00:12:35+00:00,319.0,75.243.177.182,66.87.240.129,Availability.DDoS,udp,OtherPort
2019-03-13 01:12:44+01:00,8898.0,42.147.225.111,143.166.218.161,Anomaly.Traffic,tcp,0.0
2019-03-13 00:03:53+00:00,11500.0,39.227.148.15,82.182.99.26,Recon.Scanning,tcp,OtherPort
2019-03-13 00:11:57+00:00,100.0,179.227.104.146,77.111.207.155,Recon.Scanning,tcp,OtherPort
2019-03-13 00:07:05+00:00,50.0,185.6.247.207,78.255.91.33,Recon.Scanning,tcp,OtherPort
2019-03-13 00:03:59+00:00,3000.0,185.186.169.243,77.111.207.155,Recon.Scanning,tcp,OtherPort
2019-03-13 00:12:58+00:00,240.0,78.225.220.23,34.223.2.249,Availability.DDoS,udp,OtherPort
2019-03-13 01:12:57+01:00,4273.0,67.205.216.43,143.166.126.155,Anomaly.Traffic,tcp,20016.0
2019-03-13 01:13:20+01:00,10947.0,42.147.224.57,143.166.244.17,Anomaly.Traffic,tcp,1626.0
2019-03-13 01:13:09+01:00,12596.0,77.123.193.38,143.166.253.177,Anomaly.Traffic,tcp,1253.0
2019-03-13 01:13:09+01:00,13958.0,42.147.249.97,143.166.62.95,Anomaly.Traffic,tcp,1927.0
