DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-17 01:03:33+01:00,4630.0,67.205.216.43,143.166.249.21,Anomaly.Traffic,tcp,20009.0
2019-03-17 00:04:27+00:00,460.0,224.177.31.162,189.254.7.60,Availability.DDoS,udp,OtherPort
2019-03-17 00:54:05+01:00,9.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:55:16+01:00,4.0,244.159.129.219,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:54:28+01:00,4.0,42.62.100.56,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:54:12+01:00,17.0,71.48.17.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:58:17+01:00,15.0,112.23.121.185,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:58:04+01:00,5.0,185.192.58.77,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:57:27+01:00,4.0,171.200.32.154,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:54:26+01:00,14.0,231.88.38.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:53:52+01:00,4.0,225.28.228.89,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:05:44+01:00,6078.0,69.255.87.252,226.152.230.215,Anomaly.Traffic,tcp,2638.0
2019-03-17 01:05:57+01:00,4889.0,67.205.216.43,143.166.216.53,Anomaly.Traffic,tcp,20001.0
2019-03-17 00:03:21+00:00,150.0,148.34.25.115,142.32.106.2,Recon.Scanning,tcp,OtherPort
2019-03-17 00:00:37+00:00,1550.0,179.227.104.146,142.228.7.221,Recon.Scanning,tcp,OtherPort
2019-03-17 00:01:20+00:00,50.0,235.178.228.210,142.252.0.187,Recon.Scanning,tcp,OtherPort
2019-03-17 00:06:54+00:00,46600.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-17 00:01:51+00:00,100.0,146.93.177.123,79.113.78.138,Recon.Scanning,tcp,OtherPort
2019-03-17 01:08:25+01:00,4932.0,67.205.216.43,143.166.120.102,Anomaly.Traffic,tcp,20010.0
2019-03-17 00:01:20+00:00,50.0,235.178.228.210,142.252.0.187,Recon.Scanning,tcp,OtherPort
2019-03-17 00:08:52+00:00,8400.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-17 00:59:17+01:00,7.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:59:08+01:00,4.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:03:32+01:00,4.0,184.110.137.15,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:59:52+01:00,4.0,231.88.38.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:59:45+01:00,6.0,68.236.77.70,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:59:42+01:00,11.0,80.103.9.72,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:00:49+01:00,124.0,69.255.95.53,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 00:58:59+01:00,18.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:10:53+01:00,4930.0,67.205.216.43,143.166.127.243,Anomaly.Traffic,tcp,20003.0
2019-03-17 01:03:37+01:00,4.0,176.32.30.42,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:05:17+01:00,9.0,159.185.175.253,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:04:18+01:00,21.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:06:12+01:00,8.0,159.185.175.253,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:04:02+01:00,7.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:08:14+01:00,63.0,185.164.64.7,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:03:59+01:00,5.0,68.236.77.70,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:06:13+01:00,240.0,68.231.212.67,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:08:09+01:00,4.0,171.200.32.154,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:05:05+01:00,4.0,231.88.38.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:08:04+01:00,117.0,127.208.99.7,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:15:29+01:00,4644.0,67.205.216.43,143.166.50.17,Anomaly.Traffic,tcp,20013.0
2019-03-17 00:09:27+00:00,13000.0,82.21.92.121,142.229.29.175,Recon.Scanning,tcp,OtherPort
2019-03-17 00:16:45+00:00,8150.0,185.58.160.149,224.177.129.132,Recon.Scanning,tcp,OtherPort
2019-03-17 00:10:19+00:00,1850.0,179.227.104.146,80.159.35.223,Recon.Scanning,tcp,OtherPort
2019-03-17 00:14:01+00:00,100.0,148.34.25.115,224.177.91.232,Recon.Scanning,tcp,OtherPort
2019-03-17 00:16:56+00:00,46950.0,185.186.169.243,143.166.153.87,Recon.Scanning,tcp,OtherPort
2019-03-17 00:16:55+00:00,6000.0,185.58.160.151,142.230.4.116,Recon.Scanning,tcp,OtherPort
2019-03-17 01:17:49+01:00,4523.0,67.205.216.43,143.166.102.97,Anomaly.Traffic,tcp,20003.0
2019-03-17 00:16:04+00:00,200.0,148.34.25.115,224.177.91.232,Recon.Scanning,tcp,OtherPort
2019-03-17 00:17:24+00:00,7500.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-17 01:10:15+01:00,4.0,184.110.137.26,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:09:09+01:00,4.0,112.204.117.59,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:11:20+01:00,4.0,98.89.180.18,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:20:07+01:00,4623.0,67.205.216.43,143.166.105.34,Anomaly.Traffic,tcp,20003.0
2019-03-17 01:11:04+01:00,29.0,59.127.135.153,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:09:30+01:00,6.0,231.88.38.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:09:14+01:00,11.0,74.7.46.118,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:11:07+01:00,15.0,68.72.145.178,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:11:22+01:00,240.0,249.33.78.11,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:09:04+01:00,8.0,232.181.79.2,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:08:51+01:00,13.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:22:25+01:00,4854.0,67.205.216.43,143.166.166.151,Anomaly.Traffic,tcp,20007.0
2019-03-17 01:24:42+01:00,4740.0,67.205.216.43,143.166.62.13,Anomaly.Traffic,tcp,20014.0
2019-03-17 01:14:02+01:00,4.0,225.28.228.89,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:14:59+01:00,4.0,224.104.49.165,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:59+01:00,12.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:28+01:00,39.0,122.233.189.170,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:15:15+01:00,8.0,231.119.124.130,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:38+01:00,4.0,130.25.142.160,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:16:56+01:00,22.0,69.255.95.53,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:36+01:00,6.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:50+01:00,4.0,71.48.17.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:38+01:00,4.0,153.110.171.202,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:42+01:00,20.0,68.72.145.178,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:15:29+01:00,9.0,231.88.38.52,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:13:00+01:00,6.0,232.181.79.2,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:26:02+01:00,4828.0,67.205.216.43,143.166.123.112,Anomaly.Traffic,tcp,20001.0
2019-03-17 00:26:51+00:00,16450.0,185.58.160.4,226.152.174.254,Recon.Scanning,tcp,OtherPort
2019-03-17 00:26:49+00:00,23600.0,185.58.160.151,142.230.4.116,Recon.Scanning,tcp,OtherPort
2019-03-17 00:22:14+00:00,2200.0,179.227.104.146,80.159.88.176,Recon.Scanning,tcp,OtherPort
2019-03-17 00:26:51+00:00,14100.0,185.58.160.149,224.177.129.132,Recon.Scanning,tcp,OtherPort
2019-03-17 00:26:01+00:00,150.0,148.34.203.28,142.252.105.210,Recon.Scanning,tcp,OtherPort
2019-03-17 00:17:24+00:00,2400.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-17 01:28:24+01:00,4979.0,67.205.216.43,143.166.115.18,Anomaly.Traffic,tcp,20006.0
2019-03-17 01:18:35+01:00,14.0,122.127.175.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:19:28+01:00,4.0,232.181.79.2,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:20:45+01:00,6.0,148.34.98.236,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:19:11+01:00,8.0,97.37.101.251,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:18:57+01:00,23.0,182.221.196.19,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:20:48+01:00,4.0,252.172.205.249,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:30:42+01:00,4692.0,67.205.216.43,143.166.163.34,Anomaly.Traffic,tcp,20016.0
2019-03-17 01:32:28+01:00,484.0,183.157.160.25,142.229.200.128,Anomaly.Traffic,tcp,21.0
2019-03-17 01:33:03+01:00,4854.0,67.205.216.43,143.166.100.189,Anomaly.Traffic,tcp,20001.0
2019-03-17 01:25:06+01:00,14.0,159.185.175.253,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:23:40+01:00,5.0,86.99.210.91,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-17 01:26:49+01:00,21.0,159.185.175.253,142.252.32.63,Recon.Scanning,tcp,OtherPort
