DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-15 01:04:47+01:00,5.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:07:06+01:00,11.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:10+01:00,5.0,185.108.187.201,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:56+01:00,15.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:03:49+01:00,10.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:06:29+01:00,46.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:25+01:00,5.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:06:55+01:00,240.0,146.93.191.223,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:05:39+01:00,11.0,37.180.76.147,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:05:41+01:00,11.0,37.202.132.229,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:07:29+01:00,8.0,180.204.48.170,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:03:55+01:00,28.0,74.141.154.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:20+01:00,6.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:04:25+01:00,8.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:15:56+01:00,4970.0,67.205.216.43,143.166.104.232,Anomaly.Traffic,tcp,20002.0
2019-03-15 00:16:42+00:00,1376.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 00:16:47+00:00,100.0,227.161.57.66,142.230.144.15,Recon.Scanning,tcp,OtherPort
2019-03-15 00:14:00+00:00,700.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 00:13:22+00:00,50.0,148.34.25.115,142.252.67.21,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:04+00:00,300.0,98.171.35.223,142.32.39.214,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:51+00:00,2900.0,103.186.228.127,224.51.173.141,Recon.Scanning,tcp,OtherPort
2019-03-15 00:16:12+00:00,100.0,128.221.167.51,65.168.199.147,Recon.Scanning,tcp,OtherPort
2019-03-15 00:15:18+00:00,2250.0,179.227.104.146,142.229.26.39,Recon.Scanning,tcp,OtherPort
2019-03-15 00:08:59+00:00,450.0,185.131.61.135,128.219.12.72,Recon.Scanning,tcp,OtherPort
2019-03-15 01:18:30+01:00,5193.0,67.205.216.43,143.166.127.135,Anomaly.Traffic,tcp,20000.0
2019-03-15 01:19:27+01:00,4862.0,67.205.216.43,143.166.127.135,Anomaly.Traffic,tcp,20000.0
2019-03-15 00:16:04+00:00,250.0,98.171.35.223,142.252.13.29,Recon.Scanning,tcp,OtherPort
2019-03-15 00:19:05+00:00,550.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:50+01:00,104.0,112.27.12.29,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:15+01:00,14.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:56+01:00,11.0,55.217.35.245,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:10:55+01:00,12.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:54+01:00,4.0,129.145.204.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:10:07+01:00,4.0,233.250.73.230,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:24+01:00,4.0,39.165.226.217,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:10:01+01:00,4.0,147.141.243.53,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:13:07+01:00,22.0,185.185.131.204,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:11:15+01:00,10.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:02+01:00,5.0,185.183.222.97,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:08:59+01:00,36.0,180.204.48.170,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:46+01:00,4.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:50+01:00,7.0,89.231.104.117,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:12:10+01:00,11.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:11:13+01:00,15.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:09:19+01:00,4.0,253.62.219.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:20:47+01:00,6218.0,69.255.87.252,143.166.51.28,Anomaly.Traffic,tcp,1863.0
2019-03-15 00:21:43+00:00,4.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 01:22:38+01:00,4890.0,67.205.216.43,143.166.121.109,Anomaly.Traffic,tcp,20018.0
2019-03-15 01:22:38+01:00,6341.0,224.240.105.136,143.166.188.184,Anomaly.Traffic,tcp,445.0
2019-03-15 01:24:58+01:00,4991.0,67.205.216.43,143.166.224.123,Anomaly.Traffic,tcp,20018.0
2019-03-15 01:13:28+01:00,27.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:16:49+01:00,78.0,185.58.162.161,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:08+01:00,4.0,253.62.219.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:17:33+01:00,16.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:15:41+01:00,4.0,171.200.32.138,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:39+01:00,12.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:17:39+01:00,5.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:34+01:00,4.0,89.231.104.116,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:03+01:00,5.0,185.185.131.204,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:13:44+01:00,7.0,97.12.184.114,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:13:29+01:00,6.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:13:56+01:00,4.0,89.231.104.117,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:18:28+01:00,240.0,140.137.218.222,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:02+01:00,4.0,119.137.158.65,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:14:51+01:00,5.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:25:26+01:00,5546.0,224.240.105.136,143.166.237.194,Anomaly.Traffic,tcp,445.0
2019-03-15 00:26:44+00:00,561.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 00:26:47+00:00,750.0,179.227.104.146,80.159.42.112,Recon.Scanning,tcp,OtherPort
2019-03-15 01:27:20+01:00,4784.0,67.205.216.43,143.166.50.176,Anomaly.Traffic,tcp,20020.0
2019-03-15 00:20:09+00:00,50.0,227.161.57.66,142.230.144.15,Recon.Scanning,tcp,OtherPort
2019-03-15 00:21:09+00:00,50.0,224.177.107.17,155.111.64.136,Recon.Scanning,tcp,OtherPort
