DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-12 00:54:30+01:00,13.0,188.197.136.109,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:04:18+00:00,440.0,230.202.56.26,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-12 00:57:33+01:00,9.0,71.48.17.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:27+01:00,6.0,153.110.171.206,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:02+01:00,27.0,78.234.46.207,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:55:33+01:00,4.0,153.110.171.50,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:58:13+01:00,9.0,226.223.33.205,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:47+01:00,6.0,114.240.221.22,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:36+01:00,5.0,37.189.43.56,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-12 00:53:58+01:00,152.0,42.62.101.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:44+01:00,5.0,124.55.119.172,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:13+01:00,50.0,185.130.122.139,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:56:29+01:00,11.0,185.240.70.65,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:10+01:00,19.0,78.234.46.206,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:30+01:00,11.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-12 00:54:57+01:00,17.0,226.223.33.205,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:57:52+01:00,4.0,185.192.58.22,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:11+01:00,12.0,1.33.226.5,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:53:59+01:00,6.0,188.197.136.109,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 00:54:30+01:00,7.0,179.182.202.148,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-12 01:06:02+01:00,4560.0,67.205.216.43,143.166.112.206,Anomaly.Traffic,tcp,20054.0
2019-03-12 00:00:18+00:00,1050.0,179.227.104.146,80.159.35.223,Recon.Scanning,tcp,OtherPort
2019-03-12 00:04:01+00:00,50.0,85.254.107.59,142.229.187.72,Recon.Scanning,tcp,OtherPort
2019-03-12 00:06:31+00:00,250.0,165.101.40.32,142.32.119.204,Recon.Scanning,tcp,OtherPort
2019-03-12 00:05:46+00:00,50.0,148.34.203.28,224.177.91.171,Recon.Scanning,tcp,OtherPort
2019-03-12 00:02:18+00:00,7500.0,185.179.196.36,226.152.31.109,Recon.Scanning,tcp,OtherPort
2019-03-12 01:08:10+01:00,4681.0,67.205.216.43,143.166.103.116,Anomaly.Traffic,tcp,20049.0
2019-03-12 00:08:26+00:00,75.0,185.127.90.92,85.117.39.49,Availability.DDoS,udp,OtherPort
2019-03-12 00:07:28+00:00,150.0,148.34.203.28,224.177.91.171,Recon.Scanning,tcp,OtherPort
