DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-16 01:00:19+01:00,15231.0,185.15.55.189,143.166.51.253,Anomaly.Traffic,tcp,5855.0
2019-03-16 00:00:17+00:00,94.0,131.12.95.152,78.225.212.52,Availability.DDoS,udp,OtherPort
2019-03-16 00:00:41+00:00,91.0,131.12.95.152,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-16 00:00:41+00:00,85.0,131.12.94.20,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-16 01:01:52+01:00,12266.0,185.15.52.66,143.166.54.216,Anomaly.Traffic,tcp,5503.0
2019-03-16 01:01:52+01:00,15781.0,231.58.140.214,143.166.202.163,Anomaly.Traffic,tcp,5075.0
2019-03-16 00:02:09+00:00,599.0,224.177.31.162,185.109.195.162,Availability.DDoS,udp,OtherPort
2019-03-16 00:01:43+00:00,48.0,225.255.230.127,189.142.175.247,Availability.DDoS,udp,OtherPort
2019-03-16 00:01:58+00:00,30.0,185.127.91.205,27.194.137.42,Availability.DDoS,udp,OtherPort
2019-03-16 00:02:23+00:00,77.0,131.12.95.152,78.225.212.52,Availability.DDoS,udp,OtherPort
2019-03-16 00:02:44+00:00,110.0,131.12.95.152,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-16 00:02:45+00:00,112.0,131.12.94.20,77.111.226.102,Availability.DDoS,udp,OtherPort
2019-03-16 01:03:32+01:00,4936.0,67.205.216.43,143.166.53.253,Anomaly.Traffic,tcp,20016.0
2019-03-16 01:03:48+01:00,13861.0,185.15.55.189,143.166.190.22,Anomaly.Traffic,tcp,5856.0
2019-03-16 00:04:00+00:00,30.0,185.127.91.205,27.194.137.42,Availability.DDoS,udp,OtherPort
2019-03-16 00:03:58+00:00,51.0,245.47.52.210,27.194.137.42,Availability.DDoS,udp,OtherPort
2019-03-16 00:53:34+01:00,132.0,241.106.254.255,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-16 00:56:04+01:00,8.0,71.48.17.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-16 00:54:06+01:00,4.0,150.35.129.53,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-16 00:53:52+01:00,5.0,185.183.219.72,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-16 00:54:58+01:00,4.0,118.220.42.109,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-16 00:04:27+00:00,62.0,131.12.95.152,78.225.212.52,Availability.DDoS,udp,OtherPort
2019-03-16 00:53:46+01:00,7.0,79.178.90.9,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-16 00:56:27+01:00,16.0,122.127.175.47,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-16 00:53:41+01:00,13.0,185.144.119.202,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-16 01:05:16+01:00,12111.0,185.15.52.66,143.166.172.37,Anomaly.Traffic,tcp,5501.0
2019-03-16 00:04:46+00:00,99.0,131.12.95.152,77.111.226.102,Availability.DDoS,udp,OtherPort
