DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-14 01:01:40+01:00,4566.0,67.205.216.43,143.166.70.65,Anomaly.Traffic,tcp,20020.0
2019-03-14 01:01:56+01:00,13721.0,231.58.140.214,143.166.194.92,Anomaly.Traffic,tcp,2503.0
2019-03-14 01:02:13+01:00,17066.0,42.147.249.97,143.166.115.83,Anomaly.Traffic,tcp,1052.0
2019-03-14 01:02:13+01:00,10089.0,42.147.225.111,143.166.120.11,Anomaly.Traffic,tcp,1001.0
2019-03-14 00:02:15+00:00,255.0,185.127.90.92,85.65.212.254,Availability.DDoS,udp,OtherPort
2019-03-14 00:02:26+00:00,205.0,245.47.58.142,85.65.212.254,Availability.DDoS,udp,OtherPort
2019-03-14 01:02:24+01:00,10949.0,77.123.201.7,143.166.254.181,Anomaly.Traffic,tcp,701.0
2019-03-14 01:02:39+01:00,8527.0,185.168.6.60,143.166.118.54,Anomaly.Traffic,tcp,10089.0
2019-03-14 00:02:15+00:00,13750.0,185.186.169.243,77.111.207.155,Recon.Scanning,tcp,OtherPort
2019-03-14 00:00:58+00:00,300.0,179.227.104.146,77.111.207.155,Recon.Scanning,tcp,OtherPort
2019-03-14 00:02:04+00:00,1400.0,224.62.197.53,71.99.142.145,Recon.Scanning,tcp,OtherPort
2019-03-14 00:01:16+00:00,250.0,72.98.108.65,185.127.89.134,Recon.Scanning,tcp,OtherPort
2019-03-14 00:01:44+00:00,500.0,245.201.223.166,185.127.89.250,Recon.Scanning,tcp,OtherPort
2019-03-14 01:02:50+01:00,11193.0,231.35.140.51,143.166.63.137,Anomaly.Traffic,tcp,1702.0
2019-03-14 00:02:10+00:00,195300.0,39.227.148.15,82.182.99.30,Recon.Scanning,tcp,OtherPort
2019-03-14 00:02:13+00:00,400.0,39.239.134.139,30.237.202.66,Recon.Scanning,tcp,OtherPort
2019-03-14 01:03:06+01:00,8743.0,42.147.230.217,143.166.115.143,Anomaly.Traffic,tcp,1508.0
2019-03-14 00:02:05+00:00,218.0,224.177.31.162,66.79.123.155,Availability.DDoS,udp,OtherPort
2019-03-14 01:03:21+01:00,10116.0,185.10.68.229,143.166.107.145,Anomaly.Traffic,tcp,20000.0
2019-03-14 01:03:59+01:00,4800.0,67.205.216.43,143.166.119.153,Anomaly.Traffic,tcp,20004.0
2019-03-14 01:04:10+01:00,15254.0,231.58.140.214,143.166.126.222,Anomaly.Traffic,tcp,2501.0
2019-03-14 01:04:25+01:00,9694.0,42.147.225.111,143.166.223.101,Anomaly.Traffic,tcp,1003.0
2019-03-14 01:04:25+01:00,16877.0,42.147.249.97,143.166.63.194,Anomaly.Traffic,tcp,1059.0
2019-03-14 01:04:50+01:00,10708.0,77.123.201.7,143.166.236.150,Anomaly.Traffic,tcp,704.0
2019-03-14 00:56:35+01:00,11.0,231.35.140.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-14 00:57:02+01:00,8.0,231.35.140.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-14 00:55:21+01:00,31.0,231.35.140.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-14 00:57:46+01:00,4.0,231.58.140.214,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-14 00:56:30+01:00,12.0,231.58.140.214,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-14 00:54:17+01:00,5.0,185.183.222.88,142.252.32.63,Recon.Scanning,tcp,OtherPort
